rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun,year
1,University of Oxford,"20,965",10.6,42%,96.4,92.3,99.7,99.0,74.9,96.2,2023.0,
2,Harvard University,"21,887",9.6,25%,95.2,94.8,99.0,99.3,49.5,80.5,2023.0,
3,University of Cambridge,"20,185",11.3,39%,94.8,90.9,99.5,97.0,54.2,95.8,2023.0,
3,Stanford University,"16,164",7.1,24%,94.8,94.2,96.7,99.8,65.0,79.8,2023.0,
5,Massachusetts Institute of Technology,"11,415",8.2,33%,94.2,90.7,93.6,99.8,90.9,89.3,2023.0,
6,California Institute of Technology,"2,237",6.2,34%,94.1,90.9,97.0,97.3,89.8,83.6,2023.0,
7,Princeton University,"8,279",8.0,23%,92.4,87.6,95.9,99.1,66.0,80.3,2023.0,
8,"University of California, Berkeley","40,921",18.4,24%,92.1,86.4,95.8,99.0,76.8,78.4,2023.0,
9,Yale University,"13,482",5.9,21%,91.4,92.6,92.7,97.0,55.0,70.9,2023.0,
10,Imperial College London,"18,545",11.2,61%,90.4,82.8,90.8,98.3,59.8,97.5,2023.0,
11,Columbia University,"21,781",4.5,38%,89.4,89.4,87.7,97.1,44.8,79.9,2023.0,
11,ETH Zurich,"21,665",14.8,41%,89.4,82.6,95.4,90.7,59.1,97.7,2023.0,
13,The University of Chicago,"15,366",6.0,36%,88.9,86.5,88.8,97.7,56.2,74.2,2023.0,
14,University of Pennsylvania,"21,453",6.3,23%,88.8,86.0,88.8,97.0,75.8,71.5,2023.0,
15,Johns Hopkins University,"17,584",4.7,29%,88.3,79.4,91.5,97.0,89.5,75.3,2023.0,
16,Tsinghua University,"38,324",11.6,10%,88.2,90.1,97.4,88.0,100.0,40.3,2023.0,
17,Peking University,"31,994",10.3,19%,88.1,92.5,96.7,80.4,91.8,65.0,2023.0,
18,University of Toronto,"77,468",25.8,26%,87.4,77.3,93.3,92.8,65.5,89.7,2023.0,
19,National University of Singapore,"32,337",19.8,25%,87.1,76.4,93.0,90.2,87.0,94.0,2023.0,
20,Cornell University,"24,027",10.3,26%,85.9,80.2,86.1,97.3,40.4,76.9,2023.0,
21,"University of California, Los Angeles","42,434",9.7,16%,85.8,80.4,88.9,95.4,58.8,65.0,2023.0,
22,UCL,"36,790",10.3,60%,85.7,74.5,85.4,97.9,44.5,96.7,2023.0,
23,University of Michigan-Ann Arbor,"45,912",8.2,17%,82.9,79.3,84.6,93.6,48.7,59.2,2023.0,
24,New York University,"36,337",9.8,42%,82.7,74.2,84.0,95.0,44.6,74.7,2023.0,
25,Duke University,"16,091",4.2,24%,82.6,78.1,76.2,95.7,99.6,68.0,2023.0,
26,Northwestern University,"19,175",13.2,20%,82.1,71.7,80.7,97.5,85.0,67.0,2023.0,
26,University of Washington,"47,727",10.8,18%,82.1,71.6,82.8,98.9,53.9,63.0,2023.0,
28,Carnegie Mellon University,"14,305",12.9,47%,81.1,65.4,81.8,98.7,55.2,80.1,2023.0,
29,University of Edinburgh,"32,845",11.8,47%,79.8,66.9,74.5,97.1,40.9,95.6,2023.0,
30,Technical University of Munich,"33,960",40.6,36%,79.3,69.8,82.2,84.5,100.0,77.7,2023.0,
31,University of Hong Kong,"18,087",18.2,43%,78.5,65.6,74.1,92.4,60.6,98.7,2023.0,
32,"University of California, San Diego","37,030",11.3,28%,78.1,60.2,77.2,98.2,93.0,67.8,2023.0,
33,LMU Munich,"35,003",34.2,19%,77.7,67.3,78.3,87.4,100.0,70.5,2023.0,
34,University of Melbourne,"49,588",23.8,47%,77.6,67.1,75.9,85.8,78.1,93.6,2023.0,
35,King’s College London,"28,965",11.8,52%,77.1,58.0,72.9,98.2,45.6,96.1,2023.0,
36,"Nanyang Technological University, Singapore","24,651",15.1,25%,77,60.9,77.9,87.2,84.5,94.5,2023.0,
37,London School of Economics and Political Science,"11,120",11.9,73%,76.5,59.2,74.3,95.1,37.8,92.8,2023.0,
38,Georgia Institute of Technology,"28,826",24.7,40%,76,60.2,75.9,91.4,64.9,81.2,2023.0,
39,The University of Tokyo,"26,112",10.5,15%,75.9,88.1,91.4,55.5,86.7,43.3,2023.0,
40,University of British Columbia,"56,452",18.9,34%,75.7,62.9,73.1,88.8,47.9,94.8,2023.0,
41,École Polytechnique Fédérale de Lausanne,"11,641",12.3,62%,75.4,65.6,70.7,84.5,71.7,98.0,2023.0,
42,KU Leuven,"47,663",36.5,18%,74.6,59.7,74.9,86.7,99.2,76.8,2023.0,
43,Universität Heidelberg,"19,347",13.5,21%,74.1,67.2,61.5,96.0,55.7,71.2,2023.0,
44,Monash University,"58,725",42.5,41%,73.6,56.9,68.7,90.4,78.4,91.0,2023.0,
45,Chinese University of Hong Kong,"18,468",19.0,21%,73.2,59.1,61.1,95.7,60.9,92.5,2023.0,
46,McGill University,"32,309",12.5,30%,73,62.0,72.4,82.5,43.5,91.0,2023.0,
47,Paris Sciences et Lettres – PSL Research University Paris,"16,218",15.0,22%,72.9,68.2,73.5,75.5,78.8,76.3,2023.0,
48,University of Illinois at Urbana-Champaign,"48,674",17.4,22%,72.7,67.1,78.9,78.1,50.1,56.2,2023.0,
49,Karolinska Institute,"8,021",9.9,27%,72.4,51.1,68.8,94.0,66.4,87.3,2023.0,
50,University of Texas at Austin,"49,171",17.4,10%,72.3,66.2,73.1,87.5,51.3,40.1,2023.0,
51,Fudan University,"36,318",11.9,9%,72,71.8,75.8,74.5,77.3,45.2,2023.0,
52,Shanghai Jiao Tong University,"37,478",11.5,8%,71.2,75.3,82.9,59.9,100.0,43.7,2023.0,
53,The University of Queensland,"41,372",34.2,41%,71.1,55.9,66.5,84.3,82.0,93.2,2023.0,
54,University of Manchester,"37,035",14.2,44%,70.9,54.5,63.7,91.3,45.3,92.7,2023.0,
54,The University of Sydney,"45,853",19.0,45%,70.9,53.1,65.8,88.5,73.2,90.6,2023.0,
56,Seoul National University,"26,209",15.1,10%,70.8,75.2,76.2,67.6,96.6,35.9,2023.0,
57,Washington University in St Louis,"14,420",7.8,24%,70.6,60.3,56.8,98.2,47.5,64.0,2023.0,
58,The Hong Kong University of Science and Technology,"9,864",21.0,32%,70.5,51.4,63.4,87.7,95.0,97.7,2023.0,
59,Wageningen University & Research,"15,404",18.6,27%,70.3,50.4,60.2,93.2,100.0,88.8,2023.0,
60,University of Amsterdam,"29,157",14.5,32%,69.6,48.0,64.1,93.3,44.4,91.9,2023.0,
61,Brown University,"10,037",10.1,21%,69.3,64.5,58.0,89.5,39.0,63.3,2023.0,
62,Australian National University,"16,758",14.6,51%,69,51.3,69.2,81.8,45.6,96.0,2023.0,
63,"University of California, Davis","37,639",13.1,18%,68.5,59.7,66.3,80.9,52.4,68.7,2023.0,
64,"University of California, Santa Barbara","25,860",28.5,20%,68.4,44.6,61.5,96.2,80.1,76.0,2023.0,
65,University of Southern California,"40,549",12.6,22%,68.3,58.9,58.6,90.4,43.8,63.7,2023.0,
66,Utrecht University,"32,532",17.1,13%,68.2,44.3,66.0,91.2,72.7,78.8,2023.0,
67,Zhejiang University,"46,124",12.0,16%,68.1,67.3,74.8,62.8,100.0,55.1,2023.0,
68,Kyoto University,"22,269",9.2,12%,68,77.5,79.1,52.3,88.6,40.5,2023.0,
69,University of North Carolina at Chapel Hill,"31,080",7.9,8%,67.8,58.9,59.7,93.3,46.0,41.7,2023.0,
70,Delft University of Technology,"20,299",16.1,31%,67.7,58.8,76.4,59.1,93.4,94.2,2023.0,
71,Boston University,"27,243",10.8,31%,67.5,55.9,56.1,92.9,41.1,65.9,2023.0,
71,UNSW Sydney,"45,133",36.3,40%,67.5,51.1,59.0,85.9,63.5,95.1,2023.0,
73,Charité - Universitätsmedizin Berlin,"8,429",18.0,21%,67.2,48.5,52.2,98.8,87.1,69.3,2023.0,
74,University of Science and Technology of China,"18,573",8.1,6%,67.1,65.0,64.9,78.8,69.4,36.9,2023.0,
75,University of Groningen,"30,009",24.4,28%,66.6,45.4,57.6,90.4,75.8,89.8,2023.0,
76,University of Bristol,"25,680",14.6,31%,66.5,43.8,53.4,98.6,43.5,89.4,2023.0,
77,Leiden University,"33,648",19.3,20%,66.4,43.2,64.4,86.6,68.4,85.4,2023.0,
78,Yonsei University (Seoul campus),"19,481",14.7,17%,66.3,67.0,68.9,63.9,94.8,52.8,2023.0,
79,Hong Kong Polytechnic University,"19,046",28.9,30%,65.8,46.6,57.0,86.7,56.0,97.6,2023.0,
80,Erasmus University Rotterdam,"31,668",33.9,22%,65.7,38.6,57.1,95.6,64.4,89.7,2023.0,
81,University of Wisconsin-Madison,"40,701",10.0,14%,65.5,59.7,62.9,78.7,48.4,51.8,2023.0,
82,Emory University,"13,190",4.2,20%,65.3,54.8,46.0,98.0,48.6,59.8,2023.0,
82,University of Glasgow,"28,540",13.5,41%,65.3,43.3,50.8,96.5,41.9,93.8,2023.0,
82,University of Zurich,"25,003",13.7,22%,65.3,51.5,50.7,87.5,57.6,93.0,2023.0,
85,McMaster University,"26,403",29.0,20%,65.1,42.7,51.1,94.6,89.9,84.7,2023.0,
86,Humboldt University of Berlin,"34,399",53.2,17%,64.9,55.2,64.3,75.6,42.8,70.5,2023.0,
86,University of Tübingen,"20,620",27.5,13%,64.9,51.1,58.2,84.5,79.9,64.1,2023.0,
88,University of Adelaide,"23,102",32.8,32%,64.7,42.7,51.8,92.2,65.3,93.6,2023.0,
89,University of Bonn,"27,210",47.5,17%,64.6,51.6,56.1,86.0,55.0,68.7,2023.0,
90,Sorbonne University,"41,443",13.9,21%,64.5,58.7,58.3,76.6,40.0,72.3,2023.0,
91,Free University of Berlin,"26,497",41.9,23%,64.2,54.2,62.4,74.8,41.7,76.4,2023.0,
91,Korea Advanced Institute of Science and Technology (KAIST),"9,946",10.7,9%,64.2,64.5,66.0,65.7,100.0,38.2,2023.0,
93,Université Paris-Saclay,"44,443",14.9,19%,63.9,56.7,55.2,79.1,54.6,69.7,2023.0,
94,University of Bern,"11,728",17.2,17%,63.7,46.0,46.5,90.7,86.3,88.2,2023.0,
95,"University of California, Irvine","36,655",16.9,28%,63.6,43.5,51.6,93.6,59.4,73.2,2023.0,
95,Institut Polytechnique de Paris,"5,999",6.7,41%,63.6,58.5,58.8,64.8,72.7,95.6,2023.0,
95,Nanjing University,"36,426",16.5,8%,63.6,58.4,58.2,74.3,87.3,55.2,2023.0,
98,Vanderbilt University,"12,696",3.8,15%,63.5,49.5,47.5,96.5,66.7,50.6,2023.0,
99,City University of Hong Kong,"9,099",12.1,62%,63.4,47.2,53.0,79.9,76.6,99.6,2023.0,
99,RWTH Aachen University,"39,738",50.0,28%,63.4,56.8,64.5,66.1,93.8,65.1,2023.0,
101,University of Basel,"8,632",10.9,30%,63,47.0,44.1,86.5,99.2,96.8,2023.0,
101,King Abdulaziz University,"31,545",7.8,22%,63,51.7,36.7,91.9,74.2,93.6,2023.0,
101,University of Minnesota,"61,009",12.0,10%,63,55.1,56.9,81.2,77.8,41.7,2023.0,
104,"University of Maryland, College Park","33,775",16.5,11%,62.9,48.1,57.7,89.7,40.0,42.6,2023.0,
104,University of Warwick,"23,230",13.1,44%,62.9,44.8,49.6,88.1,42.7,94.9,2023.0,
106,Michigan State University,"45,465",16.0,13%,62.8,56.2,55.6,78.8,39.9,61.9,2023.0,
107,Ghent University,"39,437",35.6,12%,62.7,48.6,60.1,77.8,80.0,63.9,2023.0,
