rank,University_Name,Strat_Year
1,University of Newcastle,2021-2025
2,"University of Wolverhampton",2021-2025
3,"University of Nottingham",2021-2025
4,Aberystwyth University,2021-2025
5,University of Ottawa,2020-2025
6,Edinburgh College,2020-2025
7,University of Georgia,2020-2025
8,Ulster University,2020-2023
9,Auburn University,2019-2024
10,York University,2019-2024
11,Athabasca University,2018-2022
12,University of Auckland,2018-2020
13,University of Cincinnati,2017-2020
14,University of Leicester,2016-2020
15,Humber College,2015-2019
16,"University of South Australia",2015-2020
17,La Trobe University,2015-2017
18,Boston College,2015-2017
19,University of Oswego,2017-2018
20,"St Cloud State University",2018
21,"University of Mary Washington",2015-2020
22,"University Nebraska Omaha",2017
23,Seneca College,2018-2021
24,"Wilfrid Laurier University",2021-2022
25,McGill University,2020-2025
26,West College Scotland,2016-2020
27,Dudley College,2020-2023
28,"Fashion Institute of Technology",2018-2020
29,"University of Birmingham",2023
30,Durham University,2020-2027
31,"University of Gloucestershire",2022-2027
32,"University of Portsmouth",2021-2025
