rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n
271.0,University of Newcastle,40.8,21.2,28.2,58.0,74.2,70.5,23508.0,0.22,0.18,2014,0.43,0.22,0.29,0.58,0.74,0.72,0.19,0.31,0.33,2021,-7
187.0,University of Ottawa,45.3,36.5,34.8,60.6,41.6,62.4,36733.0,0.26,0.15,2014,0.48,0.38,0.35,0.61,0.42,0.64,0.3,0.36,0.28,2021,-7
153.0,University of Birmingham,48.3,42.8,39.6,57.5,36.7,72.2,25295.0,0.16,0.23,2014,0.51,0.45,0.4,0.57,0.37,0.74,0.21,0.22,0.43,2023,-9
80.0,Durham University,56.1,38.3,38.3,88.2,35.3,76.8,15489.0,0.16,0.24,2014,0.59,0.4,0.39,0.88,0.35,0.78,0.13,0.22,0.44,2020,-6
392.0,University of Portsmouth,35.94,13.7,11.8,56.3,29.1,73.3,20161.0,0.19,0.23,2014,0.38,0.14,0.12,0.56,0.29,0.75,0.17,0.26,0.43,2021,-7
161.0,University College Dublin,46.7,27.1,29.0,77.0,33.1,79.6,22193.0,0.24,0.23,2014,0.49,0.28,0.29,0.77,0.33,0.81,0.18,0.33,0.43,2020,-6
343.0,University of South Australia,37.7,22.5,21.8,40.2,83.2,80.0,18971.0,0.26,0.32,2014,0.4,0.24,0.22,0.4,0.83,0.81,0.16,0.36,0.59,2015,-1
158.0,University of Nottingham,47.4,38.4,36.3,62.3,39.2,70.3,30144.0,0.15,0.27,2014,0.5,0.4,0.37,0.62,0.39,0.72,0.25,0.21,0.5,2021,-7
303.0,Aberystwyth University,39.33,19.3,17.6,57.5,32.8,65.5,9252.0,0.19,0.18,2014,0.41,0.2,0.18,0.57,0.33,0.67,0.08,0.26,0.33,2021,-7
39.0,University of Edinburgh,67.5,56.6,56.9,87.6,42.5,81.5,25774.0,0.14,0.36,2014,0.71,0.59,0.58,0.88,0.42,0.83,0.21,0.19,0.67,2017,-3
167.0,University of Auckland,46.6,26.7,33.5,67.0,74.5,88.0,29787.0,0.19,0.28,2014,0.49,0.28,0.34,0.67,0.74,0.9,0.25,0.26,0.52,2018,-4
291.0,University of Georgia,39.86,39.6,28.9,46.1,30.7,35.0,33119.0,0.2,0.07,2014,0.42,0.42,0.29,0.46,0.31,0.36,0.27,0.28,0.13,2020,-6
239.0,University of Cincinnati,42.45,31.8,22.3,69.3,36.5,25.4,36108.0,0.16,0.06,2014,0.45,0.33,0.23,0.69,0.36,0.26,0.3,0.22,0.11,2017,-3
135.0,Boston College,50.0,26.3,26.4,96.2,49.4,54.4,13216.0,0.17,0.19,2014,0.53,0.28,0.27,0.96,0.49,0.55,0.11,0.24,0.35,2015,-1
300.0,York University,39.46,24.2,28.1,55.5,36.2,55.3,48007.0,0.39,0.09,2014,0.42,0.25,0.29,0.56,0.36,0.56,0.4,0.54,0.17,2019,-5
163.0,University of Leicester,46.7,32.5,32.9,66.9,33.7,81.6,14541.0,0.13,0.35,2014,0.49,0.34,0.33,0.67,0.34,0.83,0.12,0.18,0.65,2016,-2
35.0,McGill University,68.1,61.5,68.1,74.5,40.8,77.8,31326.0,0.14,0.23,2014,0.72,0.65,0.69,0.74,0.41,0.79,0.26,0.19,0.43,2020,-6
