rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n
266.0,University of Newcastle,42.99,26.5,29.9,57.5,75.6,70.6,23508.0,0.22,0.18,2015,0.46,0.29,0.3,0.57,0.76,0.71,0.19,0.31,0.29,2021,-6
190.0,University of Ottawa,46.6,37.9,34.7,62.9,45.9,63.2,36733.0,0.26,0.15,2015,0.49,0.41,0.35,0.63,0.46,0.64,0.3,0.36,0.24,2021,-6
149.0,University of Birmingham,50.2,42.8,39.8,62.7,36.0,75.8,25295.0,0.16,0.23,2015,0.53,0.46,0.4,0.63,0.36,0.77,0.21,0.22,0.37,2023,-8
83.0,Durham University,56.9,37.2,40.7,88.9,34.8,80.4,15489.0,0.16,0.24,2015,0.6,0.4,0.41,0.89,0.35,0.81,0.13,0.22,0.38,2020,-5
390.0,University of Portsmouth,38.15,16.1,10.6,61.6,29.2,73.3,20161.0,0.19,0.23,2015,0.4,0.17,0.11,0.62,0.29,0.74,0.17,0.26,0.37,2021,-6
240.0,University College Dublin,44.29,31.7,28.1,61.7,33.8,79.4,22193.0,0.24,0.23,2015,0.47,0.34,0.28,0.62,0.34,0.8,0.18,0.33,0.37,2020,-5
299.0,University of South Australia,41.51,25.7,24.0,52.7,83.9,80.8,18971.0,0.26,0.32,2015,0.44,0.28,0.24,0.53,0.84,0.82,0.16,0.36,0.51,2015,0
171.0,University of Nottingham,47.8,39.9,35.8,62.7,39.6,70.6,30144.0,0.15,0.27,2015,0.51,0.43,0.36,0.63,0.4,0.71,0.25,0.21,0.43,2021,-6
353.0,Aberystwyth University,39.41,20.7,20.6,52.2,33.0,66.5,9252.0,0.19,0.18,2015,0.42,0.22,0.21,0.52,0.33,0.67,0.08,0.26,0.29,2021,-6
36.0,University of Edinburgh,70.4,58.9,62.9,88.3,41.2,84.3,25774.0,0.14,0.36,2015,0.75,0.63,0.64,0.88,0.41,0.85,0.21,0.19,0.57,2017,-2
175.0,University of Auckland,47.5,28.6,33.4,68.4,74.2,87.3,29787.0,0.19,0.28,2015,0.5,0.31,0.34,0.68,0.74,0.88,0.25,0.26,0.44,2018,-3
295.0,University of Georgia,41.68,39.7,28.9,46.6,31.1,35.3,33119.0,0.2,0.07,2015,0.44,0.43,0.29,0.47,0.31,0.36,0.27,0.28,0.11,2020,-5
292.0,University of Cincinnati,41.81,32.0,22.4,67.8,35.6,26.0,36108.0,0.16,0.06,2015,0.44,0.34,0.23,0.68,0.36,0.26,0.3,0.22,0.1,2017,-2
126.0,Boston College,52.5,32.4,29.1,95.9,46.5,54.6,13216.0,0.17,0.19,2015,0.56,0.35,0.3,0.96,0.46,0.55,0.11,0.24,0.3,2015,0
250.0,York University,43.77,27.5,35.3,62.9,34.1,59.7,48007.0,0.39,0.09,2015,0.46,0.3,0.36,0.63,0.34,0.6,0.4,0.54,0.14,2019,-4
199.0,University of Leicester,45.7,29.8,31.6,67.1,34.8,83.9,14541.0,0.13,0.35,2015,0.48,0.32,0.32,0.67,0.35,0.85,0.12,0.18,0.56,2016,-1
39.0,McGill University,69.6,63.3,69.9,76.0,38.6,79.0,31326.0,0.14,0.23,2015,0.74,0.68,0.71,0.76,0.39,0.8,0.26,0.19,0.37,2020,-5
