rank,name,strategy_year
1,University of Newcastle,2021
2,University of Ottawa,2021
3,Edinburgh College,2020
4,St Cloud State University,2018
5,University of Birmingham,2023
6,Durham University,2020
7,University of Gloucestershire,2022
8,University of Portsmouth,2021
9,Fashion Institute of Technology,2018
10,Athabasca University,2018
11,Auburn University,2019
12,University College Dublin,2020
13,University of Wolverhampton,2015
14,Humber College,2015
15,University of South Australia,2015
16,La Trobe University,2015
17,University of Nottingham,2021
18,Aberystwyth University,2021
19,University of Edinburgh,2017
20,Ulster University,2020
21,University of Auckland,2018
22,University of Georgia,2020
23,University of Cincinnati,2017
24,University of Oswego,2015
25,Boston College,2015
26,St Cloud University,2018
27,University of Mary Washington,2015
28,University Nebraska Omaha,2017
29,Australia National University,2021
30,Seneca College,2018
31,York University,2019
32,University of Leicester,2016
33,Wilfrid Laurier University,2021
34,McGill University,2020
35,West College Scotland,2021
36,Dudley College,2021
