name,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,m+1,m-1
Aberystwyth University,,,,0.57,0.64,0.57,0.52,0.67,0.78,0.77,0.68,0.66,0.62,0.63,0.64,,,,,,,0.63,0.01
Auburn University,,,,,,0.1,,,,0.21,0.24,0.31,0.35,0.43,0.45,0.48,0.46,,,,,0.43,0.06
Boston College,,,,,,,,,0.78,0.84,0.89,0.96,0.96,0.83,0.8,0.74,0.72,0.69,0.64,0.64,0.75,0.83,0.05
Durham University,,,,0.91,0.96,0.93,0.88,0.89,0.88,0.85,0.85,0.82,0.76,0.71,0.7,0.7,,,,,,0.71,-0.02
La Trobe University,,,,,,,,,,0.14,,,,0.45,0.49,0.5,0.65,0.73,0.83,0.86,0.83,0.45,0.45
McGill University,,,,0.69,0.77,0.75,0.74,0.76,0.79,0.82,0.85,0.86,0.85,0.86,0.84,0.82,,,,,,0.86,0.02
Ulster University,,,,,,,,,0.44,0.5,0.51,0.4,0.41,0.42,0.48,0.5,,,,,,0.42,-0.02
University College Dublin,,,,0.86,0.8,0.75,0.77,0.62,0.71,0.72,0.74,0.76,0.74,0.73,0.72,0.74,,,,,,0.73,-0.01
University of Auckland,,,,,,0.72,0.56,0.64,0.67,0.68,0.7,0.76,0.74,0.76,0.8,0.88,0.85,0.85,,,,0.76,0.02
University of Birmingham,0.52,0.51,0.56,0.57,0.63,0.83,0.87,0.9,0.92,0.92,0.93,0.93,0.95,,,,,,,,,,0.04
University of Cincinnati,,,,,,,0.62,0.69,0.7,0.69,0.68,0.72,,,,0.84,,,,,,,0.01
University of Edinburgh,,,,,,,0.87,0.92,0.91,0.88,0.88,0.96,0.96,0.97,0.97,0.96,0.96,0.96,0.97,,,0.97,0.01
University of Georgia,,,,,0.37,0.47,0.46,0.47,0.52,0.57,0.61,0.59,0.56,0.51,0.53,0.53,,,,,,0.51,0.03
University of Gloucestershire,,,,,,,,,,,,,0.49,0.5,,,,,,,,0.5,0.5
University of Leicester,,,,,,,,,0.56,0.66,0.67,0.67,0.86,0.88,0.91,0.95,0.96,0.96,0.94,0.99,,0.88,0.06
University of Newcastle,,,,0.36,0.5,0.58,0.57,0.67,0.74,0.73,0.74,0.77,0.81,0.79,0.79,,,,,,,0.79,0.04
University of Nottingham,,,0.53,0.58,0.63,0.62,0.63,0.78,0.79,0.8,0.8,0.8,0.8,0.8,0.87,,,,,,,0.8,0.03
University of Ottawa,,,,0.55,0.63,0.61,0.63,0.62,0.68,0.69,0.82,0.86,0.87,0.83,0.83,,,,,,,0.83,0.04
University of Portsmouth,,,,,0.72,0.56,0.62,0.58,0.62,0.57,0.69,0.71,0.7,0.71,0.76,,,,,,,0.71,0.01
University of South Australia,,,,,,,,,,0.19,0.34,0.4,0.53,0.41,0.58,0.63,0.68,0.66,0.67,0.68,0.7,0.41,0.11
University of Wolverhampton,,,,,,,,,,,,,,,,,0.42,0.35,0.37,0.37,0.69,,
York University,,,,,,0.41,0.5,0.56,0.63,0.49,0.51,0.48,0.48,0.51,0.51,0.59,0.67,,,,,0.51,0.0
