name,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,m+1,m-1
Aberystwyth University,,,,56.6,64.3,57.5,52.2,67.2,77.5,76.7,67.8,66.3,62.0,63.0,64.1,,,,,,,63.0,1.2
Auburn University,,,,,,10.3,,,,21.0,24.2,30.9,34.8,43.3,45.4,47.5,45.9,,,,,43.3,5.89
Boston College,,,,,,,,,78.0,83.5,88.7,96.2,95.9,83.3,79.9,74.1,72.3,69.2,64.5,64.4,74.9,83.3,4.85
Durham University,,,,91.0,96.2,93.3,88.2,88.9,87.7,85.0,84.6,82.0,75.5,71.2,69.7,70.0,,,,,,71.2,-1.78
La Trobe University,,,,,,,,,,13.6,,,,45.4,49.0,49.8,65.4,73.3,82.7,86.3,83.2,45.4,45.4
McGill University,,,,69.0,77.1,75.2,74.5,76.0,78.9,81.8,84.7,86.3,84.7,86.4,83.9,82.5,,,,,,86.4,1.68
Ulster University,,,,,,,,,44.1,49.5,50.6,39.5,40.9,41.8,47.5,50.5,,,,,,41.8,-1.64
University College Dublin,,,,86.3,80.5,74.9,77.0,61.7,70.8,72.5,74.0,76.4,73.6,73.3,71.8,73.9,,,,,,73.3,-0.92
University of Auckland,,,,,,71.8,55.7,64.2,67.0,68.4,69.8,75.8,73.8,76.5,80.2,87.5,84.8,85.4,,,,76.5,1.58
University of Birmingham,52.1,50.6,56.3,57.5,62.7,82.7,86.8,89.7,91.5,92.1,92.6,93.3,95.2,,,,,,,,,,4.32
University of Cincinnati,,,,,,,61.5,69.0,69.5,69.3,67.8,72.1,,,,83.9,,,,,,,1.41
University of Edinburgh,,,,,,,86.8,92.3,90.8,87.6,88.3,96.3,96.0,97.0,96.8,96.4,96.0,95.6,97.1,,,97.0,1.18
University of Georgia,,,,,37.3,46.8,46.1,46.6,52.2,57.2,60.7,59.0,55.8,51.4,53.2,52.8,,,,,,51.4,2.51
University of Gloucestershire,,,,,,,,,,,,,49.04,49.8,,,,,,,,49.8,49.8
University of Leicester,,,,,,,,,56.3,66.5,66.9,67.1,86.0,88.4,91.4,95.2,96.2,96.2,94.2,98.7,,88.4,6.0
University of Newcastle,,,,35.8,49.8,58.0,57.5,67.2,73.5,73.0,74.1,76.6,80.7,78.9,79.3,,,,,,,78.9,4.39
University of Nottingham,,,52.5,57.6,62.8,62.3,62.7,77.5,78.9,80.5,80.0,80.3,80.0,80.1,86.6,,,,,,,80.1,3.02
University of Ottawa,,,,54.8,63.1,60.6,62.9,61.5,67.5,69.1,81.6,86.2,87.1,83.3,82.6,,,,,,,83.3,3.53
University of Portsmouth,,,,,72.3,56.3,61.6,58.2,61.8,57.1,69.3,71.0,70.4,70.6,76.3,,,,,,,70.6,0.85
University of South Australia,,,,,,,,,,19.4,34.1,40.2,52.7,41.2,58.4,63.3,68.1,65.8,67.2,68.1,70.4,41.2,10.6
University of Wolverhampton,,,,,,,,,,,,,,,,,41.8,35.0,37.4,36.7,68.8,,
York University,,,,,,41.2,50.5,55.5,62.9,49.1,50.7,47.9,47.9,50.7,50.9,59.3,67.0,,,,,50.7,0.07
