name,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,m+1,m-1
Aberystwyth University,,,,35.5,34.9,32.8,33.0,31.3,34.9,36.6,37.9,39.7,38.6,38.6,39.8,,,,,,,38.6,0.61
Auburn University,,,,,,47.3,,,,37.2,40.0,38.9,40.7,40.2,40.0,41.8,43.8,,,,,40.2,-1.15
Boston College,,,,,,,,,51.73,24.2,50.23,49.4,46.5,46.8,43.8,43.8,45.2,34.4,33.5,35.1,37.4,46.8,1.47
Durham University,,,,33.9,30.5,34.3,35.3,34.8,34.4,37.4,36.8,37.7,37.9,37.3,37.8,39.4,,,,,,37.3,0.64
La Trobe University,,,,,,,,,,28.9,,,,43.7,45.5,58.1,54.1,51.3,50.0,46.7,51.8,43.7,43.7
McGill University,,,,51.73,35.1,40.3,40.8,38.6,40.3,41.9,39.8,42.3,42.8,43.7,45.3,43.5,,,,,,43.7,-0.17
Ulster University,,,,,,,,,29.2,33.1,33.0,35.2,35.6,33.6,37.1,39.0,,,,,,33.6,1.49
University College Dublin,,,,51.73,32.3,35.3,33.1,33.8,33.5,37.4,38.1,40.6,43.9,44.0,48.7,46.9,,,,,,44.0,0.09
University of Auckland,,,,,,61.1,76.6,76.6,74.5,74.2,78.0,70.5,67.3,61.6,62.4,75.4,69.4,56.4,,,,61.6,0.2
University of Birmingham,34.8,36.0,38.4,36.7,36.0,34.7,38.0,37.2,39.8,39.3,40.1,40.6,42.3,,,,,,,,,,0.51
University of Cincinnati,,,,,,,32.5,32.9,35.8,36.5,35.6,35.3,,,,39.4,,,,,,,0.65
University of Edinburgh,,,,,,,42.2,41.3,43.8,42.5,41.2,36.1,35.0,36.3,38.2,38.9,38.7,40.2,40.9,,,36.3,-1.24
University of Georgia,,,,,27.7,31.3,30.7,31.1,30.9,34.9,34.3,36.6,37.2,36.2,38.2,39.2,,,,,,36.2,1.08
University of Gloucestershire,,,,,,,,,,,,,46.37,46.95,,,,,,,,46.95,46.95
University of Leicester,,,,,,,,,34.4,34.9,33.7,34.8,31.7,35.1,35.2,37.3,38.1,37.6,39.9,41.9,,35.1,-0.55
University of Newcastle,,,,64.8,72.9,74.2,75.6,64.4,63.7,62.9,57.0,49.9,53.0,61.4,61.9,,,,,,,61.4,-2.38
University of Nottingham,,,38.4,36.7,38.3,39.2,39.6,39.8,39.8,38.5,40.8,39.4,38.7,40.5,41.7,,,,,,,40.5,0.17
University of Ottawa,,,,36.9,43.0,41.6,45.9,41.5,41.5,40.2,43.2,46.5,46.0,50.0,51.0,,,,,,,50.0,0.59
University of Portsmouth,,,,,29.2,29.1,29.2,28.9,32.6,32.1,34.3,34.9,33.9,35.6,37.6,,,,,,,35.6,0.83
University of South Australia,,,,,,,,,,87.7,83.7,83.2,83.9,85.9,82.9,81.6,79.7,82.5,86.9,84.3,79.5,85.9,-1.19
University of Wolverhampton,,,,,,,,,,,,,,,,,34.1,34.5,33.5,35.0,37.3,,
York University,,,,,,41.7,41.9,36.2,34.1,33.2,37.4,37.2,42.5,45.4,44.1,43.1,42.1,,,,,45.4,-0.18
