name,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,m+1,m-1
Aberystwyth University,,,,0.65,0.64,0.67,0.67,0.72,0.75,0.75,0.75,0.78,0.79,0.79,0.81,,,,,,,0.79,0.02
Auburn University,,,,,,0.23,,,,0.28,0.31,0.33,0.37,0.44,0.46,0.48,0.49,,,,,0.44,0.03
Boston College,,,,,,,,,0.32,0.42,0.53,0.55,0.55,0.6,0.6,0.54,0.58,0.42,0.44,0.46,0.49,0.6,0.06
Durham University,,,,0.66,0.77,0.79,0.78,0.81,0.86,0.87,0.89,0.91,0.92,0.93,0.94,0.95,,,,,,0.93,0.03
La Trobe University,,,,,,,,,,0.72,,,,0.78,0.79,0.8,0.82,0.84,0.87,0.9,0.89,0.78,0.78
McGill University,,,,0.86,0.82,0.77,0.79,0.8,0.86,0.86,0.88,0.9,0.91,0.91,0.92,0.91,,,,,,0.91,0.01
Ulster University,,,,,,,,,0.79,0.71,0.72,0.75,0.76,0.76,0.78,0.78,,,,,,0.76,-0.0
University College Dublin,,,,0.87,0.84,0.77,0.81,0.8,0.86,0.88,0.89,0.91,0.93,0.93,0.94,0.94,,,,,,0.93,0.01
University of Auckland,,,,,,0.94,0.94,0.89,0.9,0.88,0.91,0.91,0.91,0.92,0.94,0.94,0.95,0.95,,,,0.92,-0.0
University of Birmingham,0.74,0.71,0.71,0.74,0.77,0.82,0.84,0.86,0.89,0.89,0.9,0.92,0.92,,,,,,,,,,0.02
University of Cincinnati,,,,,,,0.19,0.21,0.24,0.26,0.26,0.28,,,,0.41,,,,,,,0.02
University of Edinburgh,,,,,,,0.67,0.81,0.8,0.83,0.85,0.9,0.92,0.92,0.93,0.94,0.95,0.95,0.96,,,0.92,0.03
University of Georgia,,,,,0.31,0.37,0.36,0.36,0.39,0.42,0.43,0.44,0.46,0.46,0.47,0.38,,,,,,0.46,0.02
University of Gloucestershire,,,,,,,,,,,,,0.47,0.48,,,,,,,,0.48,0.48
University of Leicester,,,,,,,,,0.86,0.85,0.83,0.85,0.87,0.88,0.9,0.91,0.91,0.91,0.91,0.93,,0.88,0.0
University of Newcastle,,,,0.77,0.71,0.72,0.71,0.76,0.8,0.8,0.82,0.83,0.84,0.86,0.85,,,,,,,0.86,0.01
University of Nottingham,,,0.75,0.73,0.71,0.72,0.71,0.81,0.82,0.85,0.87,0.88,0.88,0.89,0.91,,,,,,,0.89,0.02
University of Ottawa,,,,0.5,0.59,0.64,0.64,0.7,0.72,0.74,0.77,0.78,0.8,0.82,0.84,,,,,,,0.82,0.03
University of Portsmouth,,,,,0.71,0.75,0.74,0.79,0.82,0.83,0.86,0.88,0.89,0.9,0.92,,,,,,,0.9,0.02
University of South Australia,,,,,,,,,,0.83,0.82,0.81,0.82,0.89,0.9,0.92,0.93,0.9,0.86,0.88,0.88,0.89,-0.0
University of Wolverhampton,,,,,,,,,,,,,,,,,0.66,0.65,0.65,0.68,0.72,,
York University,,,,,,0.58,0.51,0.56,0.6,0.58,0.74,0.74,0.75,0.75,0.76,0.74,0.76,,,,,0.75,0.03
