name,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,m+1,m-1
Aberystwyth University,,,,63.8,63.1,65.5,66.5,72.2,75.1,74.9,75.0,78.1,79.0,79.0,81.1,,,,,,,79.0,1.92
Auburn University,,,,,,22.5,,,,27.9,30.9,33.2,36.8,43.8,45.7,48.1,49.3,,,,,43.8,3.39
Boston College,,,,,,,,,31.6,41.4,52.4,54.4,54.6,60.0,60.2,53.8,57.6,42.3,44.0,46.4,48.5,60.0,5.9
Durham University,,,,65.7,75.8,77.7,76.8,80.4,86.4,87.0,89.0,90.9,91.7,92.7,93.8,94.3,,,,,,92.7,2.62
La Trobe University,,,,,,,,,,71.3,,,,78.0,78.7,79.5,81.7,83.8,86.7,89.8,88.4,78.0,78.0
McGill University,,,,85.9,81.4,75.9,77.8,79.0,85.5,86.4,87.5,89.4,90.4,91.3,91.5,91.0,,,,,,91.3,1.13
Ulster University,,,,,,,,,79.0,70.7,72.0,75.3,75.7,76.5,77.7,77.6,,,,,,76.5,-0.2
University College Dublin,,,,87.0,83.2,76.5,79.6,79.4,86.3,88.1,89.3,91.3,92.5,93.1,93.6,94.2,,,,,,93.1,1.23
University of Auckland,,,,,,94.3,92.9,88.0,88.0,87.3,90.5,90.5,90.6,91.7,94.0,94.5,94.6,94.3,,,,91.7,-0.37
University of Birmingham,73.8,70.3,69.7,72.2,75.8,82.0,84.2,86.3,88.5,89.2,90.2,91.7,92.2,,,,,,,,,,2.09
University of Cincinnati,,,,,,,18.9,20.6,23.9,25.4,26.0,28.3,,,,40.9,,,,,,,1.85
University of Edinburgh,,,,,,,67.3,79.8,78.9,81.5,84.3,89.8,91.5,92.0,93.3,93.8,94.6,95.2,95.6,,,92.0,3.5
University of Georgia,,,,,30.6,36.2,35.0,35.3,39.2,41.7,42.6,43.9,46.0,46.3,47.0,37.6,,,,,,46.3,1.77
University of Gloucestershire,,,,,,,,,,,,,47.31,47.37,,,,,,,,47.37,47.37
University of Leicester,,,,,,,,,84.9,83.7,81.6,83.9,86.6,87.6,89.9,91.2,90.7,90.7,91.0,92.5,,87.6,0.36
University of Newcastle,,,,76.3,70.5,70.5,70.6,75.9,79.8,79.9,82.3,83.1,84.2,85.6,84.3,,,,,,,85.6,1.52
University of Nottingham,,,74.8,72.6,70.1,70.3,70.6,80.6,81.6,84.4,86.8,87.5,87.8,89.2,90.4,,,,,,,89.2,1.94
University of Ottawa,,,,49.6,58.1,62.4,63.2,69.9,71.8,73.6,77.0,77.7,79.9,82.1,84.1,,,,,,,82.1,3.13
University of Portsmouth,,,,,70.2,73.3,73.3,79.3,82.4,83.1,86.1,87.7,88.6,90.0,91.4,,,,,,,90.0,2.44
University of South Australia,,,,,,,,,,81.8,81.0,80.0,80.8,89.0,90.1,91.8,92.9,89.3,86.2,88.4,87.5,89.0,-0.4
University of Wolverhampton,,,,,,,,,,,,,,,,,65.4,65.3,65.2,67.9,72.0,,
York University,,,,,,57.7,50.7,55.3,59.7,58.2,73.5,73.9,75.3,75.0,76.1,73.5,75.3,,,,,75.0,3.48
