name,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,m+1,m-1
Aberystwyth University,,,,0.41,0.46,0.41,0.42,0.48,0.5,0.52,0.5,0.49,0.49,0.46,0.47,,,,,,,0.46,0.01
Auburn University,,,,,,0.38,,,,0.41,0.41,0.43,0.43,0.44,0.44,0.44,0.45,,,,,0.44,0.01
Boston College,,,,,,,,,0.52,0.45,0.54,0.53,0.56,0.52,0.55,0.51,0.51,0.52,0.53,0.55,0.55,0.52,0.02
Durham University,,,,0.61,0.59,0.64,0.59,0.6,0.67,0.64,0.64,0.62,0.61,0.6,0.59,0.56,,,,,,0.6,0.0
La Trobe University,,,,,,,,,,0.37,,,,0.45,0.47,0.49,0.51,0.54,0.56,0.56,0.54,0.45,0.45
McGill University,,,,0.75,0.8,0.79,0.72,0.74,0.76,0.77,0.78,0.77,0.78,0.79,0.77,0.76,,,,,,0.79,0.0
Ulster University,,,,,,,,,0.41,0.42,0.44,0.4,0.41,0.41,0.41,0.42,,,,,,0.41,-0.0
University College Dublin,,,,0.6,0.48,0.5,0.49,0.47,0.53,0.54,0.54,0.54,0.55,0.53,0.55,0.55,,,,,,0.53,0.0
University of Auckland,,,,,,0.54,0.47,0.53,0.49,0.5,0.54,0.56,0.56,0.57,0.58,0.6,0.61,0.61,,,,0.57,0.01
University of Birmingham,0.54,0.49,0.53,0.51,0.53,0.59,0.61,0.6,0.62,0.64,0.64,0.64,0.65,,,,,,,,,,0.01
University of Cincinnati,,,,,,,0.49,0.45,0.48,0.45,0.44,0.47,,,,0.54,,,,,,,-0.0
University of Edinburgh,,,,,,,0.72,0.76,0.8,0.71,0.75,0.84,0.83,0.84,0.83,0.83,0.83,0.82,0.83,,,0.84,0.02
University of Georgia,,,,,0.45,0.5,0.42,0.44,0.49,0.49,0.49,0.48,0.48,0.48,0.5,0.44,,,,,,0.48,0.0
University of Gloucestershire,,,,,,,,,,,,,0.32,0.31,,,,,,,,0.31,0.31
University of Leicester,,,,,,,,,0.44,0.49,0.49,0.48,0.54,0.56,0.58,0.58,0.59,0.59,0.57,0.59,,0.56,0.02
University of Newcastle,,,,0.4,0.46,0.43,0.46,0.49,0.53,0.53,0.51,0.51,0.54,0.53,0.56,,,,,,,0.53,0.01
University of Nottingham,,,0.51,0.5,0.57,0.5,0.51,0.57,0.58,0.6,0.6,0.6,0.6,0.61,0.62,,,,,,,0.61,0.01
University of Ottawa,,,,0.46,0.51,0.48,0.49,0.51,0.51,0.55,0.57,0.61,0.61,0.59,0.61,,,,,,,0.59,0.02
University of Portsmouth,,,,,0.44,0.38,0.4,0.42,0.44,0.44,0.47,0.47,0.45,0.45,0.48,,,,,,,0.45,0.01
University of South Australia,,,,,,,,,,0.36,0.44,0.4,0.44,0.45,0.51,0.54,0.55,0.53,0.52,0.51,0.52,0.45,0.02
University of Wolverhampton,,,,,,,,,,,,,,,,,0.4,0.38,0.39,0.36,0.42,,
York University,,,,,,0.4,0.43,0.42,0.46,0.46,0.48,0.48,0.48,0.46,0.47,0.46,0.47,,,,,0.46,0.01
