name,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,m+1,m-1
Aberystwyth University,,,,39.13,44.39,39.33,39.41,45.28,47.51,48.77,47.89,46.77,47.18,44.4,45.14,,,,,,,44.4,0.98
Auburn University,,,,,,35.65,,,,38.98,39.23,40.77,41.69,42.06,42.42,42.19,42.95,,,,,42.06,1.39
Boston College,,,,,,,,,50.3,42.4,51.6,50.0,52.5,49.6,51.86,48.51,49.42,49.89,50.31,52.17,52.72,49.6,1.2
Durham University,,,,58.9,56.4,60.7,56.1,56.9,63.6,60.6,60.8,59.9,58.5,57.6,56.7,54.4,,,,,,57.6,0.25
La Trobe University,,,,,,,,,,35.13,,,,42.92,44.9,46.29,48.91,51.18,53.7,53.77,51.79,42.92,42.92
McGill University,,,,71.7,75.5,75.7,68.1,69.6,72.6,73.1,73.2,73.7,74.3,75.1,73.4,73.0,,,,,,75.1,0.1
Ulster University,,,,,,,,,39.31,39.65,41.1,38.82,39.08,39.53,39.34,40.11,,,,,,39.53,-0.13
University College Dublin,,,,57.5,45.9,47.9,46.7,44.29,50.6,51.69,50.95,52.1,52.55,50.69,52.54,53.31,,,,,,50.69,0.21
University of Auckland,,,,,,51.8,44.6,50.3,46.6,47.5,51.0,53.4,52.5,54.28,55.2,57.8,58.4,58.4,,,,54.28,0.62
University of Birmingham,51.8,46.9,50.5,48.3,50.2,56.2,57.6,56.8,59.7,60.9,61.3,61.5,62.6,,,,,,,,,,1.31
University of Cincinnati,,,,,,,46.9,42.76,46.07,42.45,41.81,45.08,,,,51.73,,,,,,,-0.44
University of Edinburgh,,,,,,,69.2,72.0,76.1,67.5,70.4,80.3,79.2,79.2,79.8,79.4,79.4,78.9,79.8,,,79.2,1.46
University of Georgia,,,,,42.63,47.5,39.86,41.68,46.94,46.86,46.57,45.75,45.96,46.28,48.02,42.09,,,,,,46.28,0.44
University of Gloucestershire,,,,,,,,,,,,,30.19,30.06,,,,,,,,30.06,30.06
University of Leicester,,,,,,,,,41.5,46.7,46.7,45.7,51.1,53.0,55.0,55.6,56.1,56.0,54.8,56.9,,53.0,1.82
University of Newcastle,,,,38.08,43.47,40.8,42.99,46.26,50.82,49.68,48.63,49.07,51.41,51.0,54.34,,,,,,,51.0,1.35
University of Nottingham,,,49.0,47.7,54.8,47.4,47.8,54.1,55.5,56.2,57.2,57.2,56.9,58.1,59.6,,,,,,,58.1,1.0
University of Ottawa,,,,43.2,49.0,45.3,46.6,48.68,48.33,51.86,54.9,57.9,58.0,56.7,58.5,,,,,,,56.7,1.57
University of Portsmouth,,,,,41.68,35.94,38.15,39.79,42.26,41.55,44.69,45.0,43.25,42.87,45.87,,,,,,,42.87,0.81
University of South Australia,,,,,,,,,,34.08,41.65,37.7,41.51,42.39,48.12,51.37,52.34,50.5,49.27,48.95,49.67,42.39,1.83
University of Wolverhampton,,,,,,,,,,,,,,,,,38.68,36.53,36.98,34.6,40.01,,
York University,,,,,,37.94,41.3,39.46,43.77,43.51,45.72,45.52,46.51,44.28,44.59,44.42,45.16,,,,,44.28,1.19
