name,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,m+1,m-1
Aberystwyth University,,,,15.5,21.7,17.6,20.6,18.9,21.3,25.5,24.0,22.9,23.8,24.9,23.4,,,,,,,24.9,0.8
Auburn University,,,,,,18.7,,,,19.4,18.3,20.2,20.8,21.1,21.4,22.7,23.4,,,,,21.1,0.5
Boston College,,,,,,,,,33.6,18.9,33.2,26.4,29.1,29.3,19.3,20.0,25.3,33.7,33.3,34.6,31.5,29.3,-0.15
Durham University,,,,44.1,37.9,44.5,38.3,40.7,51.9,49.0,47.9,47.0,47.8,49.7,47.8,44.6,,,,,,49.7,0.95
La Trobe University,,,,,,,,,,19.5,,,,28.5,29.7,33.0,32.5,33.1,34.6,34.0,32.9,28.5,28.5
McGill University,,,,74.9,78.4,80.4,68.1,69.9,72.1,70.3,70.8,69.4,71.9,73.4,70.9,72.4,,,,,,73.4,-0.78
Ulster University,,,,,,,,,13.2,15.3,15.6,18.2,18.0,18.0,19.6,22.3,,,,,,18.0,1.25
University College Dublin,,,,36.6,23.7,31.8,29.0,28.1,38.5,37.8,37.5,36.6,36.5,37.8,39.0,40.3,,,,,,37.8,0.94
University of Auckland,,,,,,39.2,35.0,40.9,33.5,33.4,39.5,40.8,40.7,40.7,43.9,44.8,46.3,44.3,,,,40.7,0.42
University of Birmingham,50.7,42.6,46.7,39.6,39.8,41.8,42.4,38.3,43.3,45.6,45.5,45.2,46.2,,,,,,,,,,0.01
University of Cincinnati,,,,,,,40.4,24.9,26.5,22.3,22.4,20.4,,,,30.8,,,,,,,-3.19
University of Edinburgh,,,,,,,61.9,61.4,71.3,56.9,62.9,77.2,74.7,74.2,73.7,74.1,74.7,74.2,74.5,,,74.2,2.2
University of Georgia,,,,,36.4,40.1,28.9,28.9,30.5,35.0,32.3,32.1,35.8,36.1,42.4,25.8,,,,,,36.1,-0.22
University of Gloucestershire,,,,,,,,,,,,,23.34,23.35,,,,,,,,23.35,23.35
University of Leicester,,,,,,,,,30.3,32.5,32.9,31.6,27.8,32.4,34.5,33.8,34.8,33.6,32.3,32.9,,32.4,-0.59
University of Newcastle,,,,27.1,29.0,28.2,29.9,26.5,28.5,26.9,26.9,28.3,30.5,33.2,35.8,,,,,,,33.2,0.07
University of Nottingham,,,44.1,40.0,50.8,36.3,35.8,39.0,41.3,41.9,42.8,42.6,42.4,44.2,44.1,,,,,,,44.2,-0.05
University of Ottawa,,,,34.8,41.4,34.8,34.7,36.7,21.0,37.5,39.3,42.0,41.3,40.6,45.4,,,,,,,40.6,0.47
University of Portsmouth,,,,,10.5,11.8,10.6,10.9,13.2,14.3,15.3,16.2,16.7,17.8,19.2,,,,,,,17.8,0.85
University of South Australia,,,,,,,,,,18.0,25.0,21.8,24.0,26.7,29.9,36.3,37.1,39.4,36.1,36.6,36.1,26.7,1.48
University of Wolverhampton,,,,,,,,,,,,,,,,,13.0,13.3,13.2,13.5,14.3,,
York University,,,,,,27.7,30.1,28.1,35.3,30.8,39.7,40.9,41.3,37.6,37.2,33.9,33.1,,,,,37.6,2.14
