rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1.0,California Institute of Technology,95.5,127.36,143.13,99.7,95.6,59.8,2243.0,6.9,0.27,2013
2.0,Stanford University,93.7,115.47,128.93,99.3,62.4,56.6,15596.0,7.8,0.22,2013
3.0,University of Oxford,93.7,108.52,120.62,95.6,79.8,88.7,19919.0,11.6,0.34,2013
4.0,Harvard University,93.6,103.59,114.73,99.2,39.9,63.7,20152.0,8.9,0.25,2013
5.0,Massachusetts Institute of Technology,93.1,99.76,110.16,99.9,92.9,81.6,11074.0,9.0,0.33,2013
6.0,Princeton University,92.7,96.64,106.42,99.8,79.5,54.5,7929.0,8.4,0.27,2013
7.0,University of Cambridge,92.6,94.0,103.26,96.2,59.1,83.6,18812.0,11.8,0.34,2013
8.0,Imperial College London,90.6,91.71,100.53,93.0,87.5,91.4,15060.0,11.7,0.51,2013
9.0,"University of California, Berkeley",90.5,89.69,98.11,99.3,65.4,49.7,36186.0,16.4,0.15,2013
10.0,University of Chicago,90.4,87.88,95.95,98.7,-,55.3,14221.0,6.9,0.21,2013
11.0,Yale University,89.2,86.25,94.0,94.8,38.2,54.7,11751.0,4.4,0.2,2013
12.0,ETH Zurich – Swiss Federal Institute of Technology Zurich,87.8,84.75,92.22,86.6,-,95.7,18178.0,14.7,0.37,2013
13.0,"University of California, Los Angeles",87.7,83.38,90.58,95.9,-,42.3,38206.0,10.3,0.15,2013
14.0,Columbia University,87.0,82.11,89.06,96.1,-,66.1,25055.0,5.9,0.28,2013
15.0,University of Pennsylvania,86.6,80.93,87.65,96.2,43.7,38.1,20376.0,6.5,0.2,2013
16.0,Johns Hopkins University,85.6,79.82,86.32,95.3,100,57.3,15128.0,3.6,0.23,2013
17.0,University College London,85.5,78.78,85.08,86.8,45.1,89.0,26607.0,10.7,0.46,2013
18.0,Cornell University,83.3,77.8,83.91,91.8,39.5,53.8,21424.0,10.2,0.19,2013
19.0,Northwestern University,83.1,76.88,82.8,98.2,64.4,33.8,18334.0,13.8,0.15,2013
20.0,University of Michigan,82.6,76.0,81.75,91.6,53.9,47.6,41786.0,9.0,0.16,2013
21.0,University of Toronto,82.2,75.16,80.75,85.1,42.9,65.1,66198.0,19.5,0.15,2013
22.0,Carnegie Mellon University,81.5,74.36,79.8,95.5,55.9,51.4,11885.0,13.1,0.35,2013
23.0,Duke University,81.2,73.6,78.89,97.0,100,45.8,15172.0,4.8,0.17,2013
24.0,University of Washington,79.9,72.87,78.02,97.0,41.3,39.1,44020.0,11.8,0.13,2013
25.0,Georgia Institute of Technology,78.8,72.17,77.18,90.3,74.9,66.3,19967.0,20.1,0.26,2013
26.0,University of Texas at Austin,78.8,71.5,76.38,91.0,57.9,42.1,49427.0,17.4,0.09,2013
27.0,University of Tokyo,78.3,70.85,75.6,71.3,59,27.6,26199.0,5.7,0.1,2013
28.0,University of Melbourne,77.9,70.23,74.86,83.7,67.6,77.2,40128.0,23.7,0.35,2013
29.0,National University of Singapore,77.5,69.63,74.14,67.2,77.4,92.3,31592.0,15.5,0.34,2013
30.0,University of British Columbia,77.3,69.05,73.44,84.0,42.4,82.1,50152.0,17.6,0.25,2013
31.0,University of Wisconsin-Madison,76.9,68.48,72.77,88.2,54.8,29.8,39655.0,10.8,0.11,2013
32.0,University of Edinburgh,76.1,67.94,72.12,90.8,43.8,78.9,25774.0,14.1,0.36,2013
33.0,University of Illinois at Urbana-Champaign,75.8,67.41,71.49,80.8,-,36.0,42727.0,18.7,0.2,2013
34.0,McGill University,75.7,66.9,70.88,75.2,40.3,75.9,31326.0,13.7,0.23,2013
35.0,"University of California, Santa Barbara",75.6,66.4,70.29,99.4,100,58.3,22020.0,27.3,0.11,2013
36.0,University of Hong Kong,75.6,65.92,69.71,62.1,62.5,81.7,19835.0,17.6,0.38,2013
37.0,Australian National University,75.4,65.45,69.15,73.5,39.6,90.0,14604.0,19.2,0.35,2013
38.0,"University of California, San Diego",75.2,64.99,68.6,96.2,43.9,34.2,27233.0,6.5,0.11,2013
39.0,London School of Economics and Political Science,73.1,64.55,68.07,66.5,42.9,87.2,nan,nan,nan,2013
40.0,École Polytechnique Fédérale de Lausanne,73.0,64.11,67.55,95.0,49.8,98.8,9666.0,10.5,0.54,2013
41.0,New York University,72.8,63.69,67.04,89.2,29.5,38.7,42056.0,6.8,0.19,2013
42.0,Karolinska Institute,72.4,63.28,66.55,77.3,71.4,64.5,7774.0,11.5,0.22,2013
43.0,University of North Carolina at Chapel Hill,72.4,62.87,66.07,90.1,40,32.9,26518.0,7.3,0.08,2013
44.0,"University of California, Davis",71.8,62.48,65.6,82.7,52.5,51.7,35364.0,13.9,0.13,2013
45.0,Washington University in St Louis,71.8,62.09,65.14,95.2,-,44.3,12528.0,5.7,0.17,2013
46.0,Peking University,70.7,61.72,64.69,64.3,99.9,54.1,40148.0,8.3,0.14,2013
47.0,University of Minnesota,70.5,61.35,64.25,84.7,-,28.7,46825.0,18.0,0.13,2013
48.0,LMU Munich,70.4,60.99,63.81,85.5,42,54.7,35691.0,15.5,0.13,2013
49.0,University of Manchester,70.1,60.63,63.39,76.9,43.2,77.9,34938.0,15.3,0.34,2013
50.0,Pohang University of Science and Technology,69.4,60.29,62.98,88.2,100,28.8,3055.0,10.1,0.04,2013
51.0,Brown University,68.9,59.95,62.57,94.1,29.9,36.9,8653.0,10.1,0.19,2013
52.0,Tsinghua University,67.1,59.62,62.17,55.2,99.2,37.2,39763.0,13.7,0.1,2013
53.0,Ohio State University,67.0,59.29,61.78,80.1,49.5,46.3,51462.0,13.4,0.12,2013
54.0,Boston University,66.8,58.97,61.4,94.2,30.6,39.2,24789.0,8.6,0.17,2013
55.0,Kyoto University,66.8,58.65,61.02,57.8,76.4,26.3,22809.0,5.6,0.07,2013
56.0,University of Southern California,66.3,58.34,60.66,81.9,33.5,43.4,36534.0,12.9,0.2,2013
57.0,King’s College London,66.2,58.04,60.29,82.8,42.4,86.0,21394.0,11.4,0.37,2013
