rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year
1,University of Oxford,20664,0.11,0.41,95.4,106.43,126.28,98.4,65.5,96.4,2020
2,California Institute of Technology,2240,0.06,0.3,94.5,97.75,114.93,97.9,88.0,82.5,2020
3,University of Cambridge,18978,0.11,0.37,94.4,92.68,108.28,95.8,59.3,95.0,2020
4,Stanford University,16135,0.07,0.23,94.3,89.07,103.57,99.9,66.2,79.5,2020
5,Massachusetts Institute of Technology,11247,0.09,0.34,93.6,86.28,99.92,99.5,86.9,89.0,2020
6,Princeton University,7983,0.08,0.25,93.2,84.0,96.93,98.8,58.6,81.1,2020
7,Harvard University,20823,0.09,0.24,93.0,82.06,94.4,99.1,47.3,76.3,2020
8,Yale University,12402,0.05,0.2,91.7,80.39,92.22,97.3,52.4,68.7,2020
9,University of Chicago,13833,0.06,0.28,90.2,78.92,90.29,96.7,52.7,76.0,2020
10,Imperial College London,16760,0.12,0.56,89.8,77.6,88.56,97.0,69.9,97.1,2020
11,University of Pennsylvania,20578,0.07,0.21,89.6,76.4,87.0,98.2,74.0,65.0,2020
12,Johns Hopkins University,16171,0.05,0.26,89.2,75.31,85.57,98.3,91.3,73.2,2020
13,"University of California, Berkeley",41081,0.14,0.17,88.3,74.31,84.26,99.2,46.1,70.4,2020
14,ETH Zurich,18956,0.13,0.39,88.3,73.38,83.05,90.3,56.8,98.2,2020
15,UCL,32665,0.11,0.52,87.1,72.52,81.92,96.1,42.7,96.2,2020
16,Columbia University,26586,0.06,0.37,87.0,71.71,80.86,98.2,44.8,79.3,2020
17,"University of California, Los Angeles",41066,0.09,0.17,86.8,70.95,79.87,97.3,51.3,64.1,2020
18,University of Toronto,73370,0.2,0.21,85.5,70.24,78.93,93.6,50.5,84.7,2020
19,Cornell University,22319,0.1,0.25,85.1,69.56,78.05,96.6,37.1,73.4,2020
20,Duke University,15309,0.04,0.19,84.0,68.92,77.2,97.0,99.9,61.5,2020
21,University of Michigan-Ann Arbor,42982,0.08,0.17,83.8,68.31,76.41,94.9,47.7,59.2,2020
22,Northwestern University,17951,0.13,0.2,83.5,67.72,75.64,97.8,78.4,64.1,2020
23,Tsinghua University,38783,0.12,0.11,82.6,67.17,74.92,74.6,100.0,47.4,2020
24,Peking University,39575,0.12,0.15,82.3,66.63,74.22,73.2,86.6,59.6,2020
25,National University of Singapore,30869,0.18,0.28,81.9,66.12,73.55,76.9,58.8,95.5,2020
26,University of Washington,45692,0.11,0.16,81.6,65.63,72.91,98.6,47.5,60.4,2020
27,Carnegie Mellon University,13430,0.14,0.48,81.3,65.16,72.29,98.2,50.5,80.6,2020
28,London School of Economics and Political Science,10570,0.12,0.71,81.3,64.7,71.69,92.8,35.1,93.2,2020
29,New York University,44466,0.09,0.33,81.1,64.26,71.12,96.5,38.7,65.4,2020
30,University of Edinburgh,29433,0.13,0.41,79.4,63.84,70.56,96.4,38.9,93.8,2020
31,"University of California, San Diego",33579,0.13,0.23,78.8,63.43,70.03,97.7,90.3,63.7,2020
32,LMU Munich,34519,0.35,0.17,77.8,63.03,69.51,88.8,100.0,67.2,2020
33,University of Melbourne,47385,0.26,0.46,77.8,62.65,69.0,89.8,76.3,93.1,2020
34,University of British Columbia,52108,0.18,0.32,76.3,62.27,68.51,92.5,43.8,94.4,2020
35,University of Hong Kong,18260,0.18,0.44,75.9,61.91,68.04,76.6,59.7,98.6,2020
36,King’s College London,26057,0.13,0.44,75.7,61.56,67.58,94.8,45.6,95.6,2020
37,The University of Tokyo,25913,0.11,0.12,75.7,61.21,67.13,60.7,77.4,38.2,2020
38,École Polytechnique Fédérale de Lausanne,10492,0.11,0.59,75.4,60.88,66.69,88.3,66.4,98.6,2020
39,Georgia Institute of Technology,21372,0.18,0.27,75.4,60.55,66.26,90.4,61.6,77.1,2020
40,University of Texas at Austin,49165,0.17,0.1,75.4,60.24,65.85,93.2,46.6,39.1,2020
41,Karolinska Institute,7777,0.09,0.2,74.7,59.93,65.45,96.1,71.2,81.2,2020
42,McGill University,31294,0.13,0.29,74.3,59.63,65.05,84.7,42.8,90.4,2020
43,Technical University of Munich,40472,0.48,0.27,74.1,59.33,64.66,85.5,100.0,72.9,2020
44,Heidelberg University,20800,0.16,0.18,73.5,59.04,64.29,96.2,54.6,67.5,2020
45,KU Leuven,45049,0.36,0.15,73.2,58.76,63.92,85.3,99.3,71.8,2020
46,Paris Sciences et Lettres – PSL Research University Paris,21298,0.12,0.26,73.2,58.49,63.56,77.0,52.2,78.7,2020
47,The Hong Kong University of Science and Technology,10125,0.22,0.31,73.1,58.22,63.21,89.8,71.9,97.7,2020
48,University of Illinois at Urbana-Champaign,44916,0.18,0.24,72.9,57.95,62.86,84.4,47.9,54.3,2020
49,"Nanyang Technological University, Singapore",25088,0.16,0.27,72.9,57.69,62.53,84.9,76.5,95.1,2020
50,Australian National University,17359,0.18,0.44,72.1,57.44,62.19,88.4,46.4,95.5,2020
51,University of Wisconsin-Madison,39154,0.1,0.13,72.0,57.19,61.87,85.3,46.3,47.4,2020
52,Washington University in St Louis,13401,0.08,0.2,71.5,56.95,61.55,98.8,40.7,57.1,2020
53,Brown University,9391,0.11,0.2,70.0,56.71,61.24,94.9,36.5,61.4,2020
54,University of North Carolina at Chapel Hill,35419,0.09,0.08,69.9,56.48,60.93,96.9,43.9,38.0,2020
55,"University of California, Davis",39164,0.12,0.14,69.7,56.25,60.63,83.2,51.4,62.4,2020
56,University of Manchester,37038,0.14,0.4,69.7,56.02,60.34,85.2,44.7,91.0,2020
57,"University of California, Santa Barbara",24089,0.28,0.16,69.6,55.8,60.05,96.4,84.5,68.1,2020
58,Chinese University of Hong Kong,18340,0.19,0.32,69.6,55.58,59.76,84.5,55.2,97.8,2020
59,Wageningen University & Research,13914,0.21,0.27,69.4,55.37,59.48,96.1,100.0,81.9,2020
60,University of Sydney,45111,0.2,0.39,69.3,55.16,59.21,90.7,67.7,89.2,2020
61,Boston University,25662,0.12,0.27,68.5,54.95,58.94,95.7,41.4,64.4,2020
62,University of Amsterdam,26723,0.14,0.18,68.1,54.75,58.67,91.2,45.3,82.0,2020
63,University of Southern California,36929,0.12,0.25,68.1,54.55,58.41,93.1,39.7,66.2,2020
64,Seoul National University,26182,0.12,0.12,68.0,54.35,58.15,66.5,86.6,35.8,2020
65,Kyoto University,22566,0.09,0.09,67.7,54.16,57.9,59.9,66.2,33.7,2020
66,University of Queensland,39144,0.36,0.34,67.4,53.96,57.65,86.8,80.9,92.5,2020
67,Delft University of Technology,18743,0.2,0.3,66.7,53.78,57.4,63.2,99.4,92.8,2020
68,Leiden University,28741,0.19,0.16,66.7,53.59,57.16,83.1,72.7,79.4,2020
69,Erasmus University Rotterdam,23167,0.2,0.23,66.3,53.41,56.92,97.1,63.6,87.3,2020
70,Ohio State University (Main campus),54372,0.13,0.13,66.1,53.23,56.68,87.3,53.3,59.5,2020
71,UNSW Sydney,44336,0.36,0.41,65.9,53.05,56.45,82.9,57.9,93.7,2020
72,McMaster University,24412,0.28,0.17,65.4,52.88,56.22,94.8,94.0,82.7,2020
73,University of Groningen,27228,0.24,0.21,65.1,52.7,55.99,91.6,79.8,82.5,2020
74,Humboldt University of Berlin,33463,0.56,0.17,65.0,52.53,55.77,67.9,40.2,67.8,2020
75,Monash University,52989,0.34,0.39,64.7,52.36,55.55,83.8,67.2,89.9,2020
76,Utrecht University,31833,0.14,0.09,64.7,52.2,55.33,88.4,65.3,65.5,2020
77,University of Warwick,20599,0.13,0.41,64.6,52.03,55.12,88.8,42.8,93.8,2020
78,Penn State (Main campus),46204,0.15,0.16,64.2,51.87,54.91,75.7,52.1,47.4,2020
79,University of Minnesota,61120,0.12,0.11,64.1,51.71,54.7,82.7,78.2,40.2,2020
80,Charité - Universitätsmedizin Berlin,7076,0.18,0.19,64.0,51.56,54.49,94.9,92.7,63.5,2020
81,Emory University,12735,0.04,0.2,64.0,51.4,54.29,98.8,45.4,57.9,2020
82,University of Science and Technology of China,16245,0.08,0.04,64.0,51.25,54.09,74.7,79.6,31.3,2020
83,Sorbonne University,43076,0.14,0.19,64.0,51.09,53.89,79.9,38.4,69.2,2020
84,Michigan State University,44789,0.17,0.16,63.9,50.94,53.7,80.0,37.8,63.3,2020
85,University of Montreal,36794,0.2,0.22,63.4,50.8,53.5,86.4,70.0,84.1,2020
86,University of Freiburg,21475,0.43,0.23,63.3,50.65,53.31,83.1,100.0,75.7,2020
87,University of Bristol,21783,0.14,0.27,63.2,50.51,53.12,95.5,40.9,86.6,2020
88,Purdue University West Lafayette,40451,0.16,0.23,63.1,50.36,52.93,63.0,64.3,72.0,2020
89,Sungkyunkwan University (SKKU),23342,0.2,0.15,63.0,50.22,52.75,70.3,97.3,51.1,2020
90,University of Zurich,22609,0.12,0.21,62.8,50.08,52.56,88.2,53.0,92.2,2020
91,"University of Maryland, College Park",33108,0.17,0.11,62.7,49.94,52.38,89.6,39.2,41.2,2020
92,University of Tübingen,27901,0.38,0.14,62.7,49.81,52.2,80.1,67.0,64.0,2020
93,École Polytechnique,3030,0.06,0.4,62.5,49.67,52.03,70.2,69.6,95.2,2020
94,University of Basel,11518,0.16,0.27,62.4,49.54,51.85,91.4,99.4,96.1,2020
95,Dartmouth College,6247,0.08,0.15,62.4,49.4,51.68,96.4,41.0,39.6,2020
96,"University of California, Irvine",32706,0.17,0.26,62.3,49.27,51.51,94.9,58.9,71.9,2020
97,University of Helsinki,22072,0.17,0.05,62.3,49.14,51.34,88.1,38.1,55.1,2020
98,Lund University,27266,0.12,0.19,62.3,49.01,51.17,86.3,81.0,77.7,2020
99,University of Glasgow,25357,0.15,0.37,62.2,48.89,51.0,91.8,40.0,92.3,2020
100,RWTH Aachen University,45377,0.61,0.21,62.2,48.76,50.84,67.3,98.1,59.0,2020
101,University of Copenhagen,31219,0.04,0.17,62.1,48.64,50.68,89.6,48.1,85.4,2020
102,Georgetown University,16279,0.09,0.18,61.9,48.51,50.51,93.9,62.5,47.2,2020
103,Uppsala University,25438,0.17,0.15,61.9,48.39,50.35,85.0,74.6,68.1,2020
104,University of Arizona,39124,0.18,0.1,61.8,48.27,50.2,85.3,52.7,40.2,2020
105,University of Bonn,36352,0.68,0.13,61.6,48.15,50.04,88.0,93.3,60.3,2020
106,Rice University,6667,0.09,0.28,61.6,48.03,49.88,93.7,45.4,77.0,2020
107,University of Virginia (Main campus),23116,0.09,0.12,61.5,47.91,49.73,91.3,41.6,48.9,2020
108,Zhejiang University,33427,0.11,0.22,61.5,47.8,49.58,50.6,100.0,61.8,2020
109,Fudan University,32537,0.11,0.12,61.4,47.68,49.43,68.1,58.6,44.8,2020
110,Korea Advanced Institute of Science and Technology (KAIST),9481,0.1,0.08,61.3,47.57,49.28,58.1,99.9,35.5,2020
111,Queen Mary University of London,17799,0.14,0.43,61.3,47.45,49.13,98.0,44.1,96.7,2020
112,University of Birmingham,29542,0.16,0.29,60.9,47.34,48.98,92.1,39.3,89.2,2020
113,University of Bern,11090,0.17,0.16,60.4,47.23,48.84,86.6,85.0,87.3,2020
114,University of Pittsburgh-Pittsburgh campus,26652,0.06,0.11,60.4,47.12,48.69,95.1,40.7,39.3,2020
115,Aarhus University,26842,0.14,0.09,60.3,47.01,48.55,85.4,66.7,74.8,2020
116,Vanderbilt University,12006,0.03,0.14,60.2,46.9,48.41,95.4,47.5,43.0,2020
117,Free University of Berlin,35894,0.58,0.21,60.1,46.79,48.27,58.4,42.4,71.6,2020
118,University of Sheffield,26218,0.15,0.34,60.1,46.69,48.13,83.0,45.8,87.3,2020
119,Case Western Reserve University,10654,0.09,0.23,60.0,46.58,47.99,95.3,42.1,52.2,2020
120,University of Adelaide,21093,0.3,0.29,59.9,46.48,47.85,95.3,64.8,91.7,2020
121,National Taiwan University,27254,0.11,0.11,59.9,46.37,47.72,64.0,65.4,41.9,2020
122,University of Southampton,23863,0.14,0.34,59.8,46.27,47.58,88.0,40.1,94.2,2020
123,Ghent University,38080,0.37,0.1,59.7,46.17,47.45,78.4,80.9,59.5,2020
124,University of Colorado Boulder,33186,0.16,0.11,59.6,46.07,47.31,93.1,41.7,47.3,2020
125,University of Göttingen,30773,0.29,0.13,59.5,45.97,47.18,82.0,37.0,60.9,2020
126,City University of Hong Kong,9587,0.11,0.45,59.3,45.87,47.05,77.6,62.4,99.6,2020
