rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
1.0,California Institute of Technology,94.9,94.4,98.2,99.8,91.2,65.8,2243.0,0.07,0.27,2014,1.0,0.99,1.0,1.0,0.91,0.67,0.02,0.1,0.5
2.0,Harvard University,93.9,95.3,98.5,99.1,40.6,66.2,20152.0,0.09,0.25,2014,0.99,1.0,1.0,0.99,0.41,0.67,0.17,0.12,0.46
3.0,University of Oxford,93.9,89.0,98.5,95.4,90.3,90.2,19919.0,0.12,0.34,2014,0.99,0.93,1.0,0.95,0.9,0.92,0.16,0.17,0.63
4.0,Stanford University,93.8,94.7,96.8,99.1,61.3,68.0,15596.0,0.08,0.22,2014,0.99,0.99,0.98,0.99,0.61,0.69,0.13,0.11,0.41
5.0,Massachusetts Institute of Technology,93.0,92.9,89.0,100.0,94.3,82.0,11074.0,0.09,0.33,2014,0.98,0.97,0.9,1.0,0.94,0.84,0.09,0.12,0.61
6.0,Princeton University,92.7,89.9,97.6,99.7,80.5,59.6,7929.0,0.08,0.27,2014,0.98,0.94,0.99,1.0,0.8,0.61,0.07,0.11,0.5
7.0,University of Cambridge,92.3,90.6,95.3,95.7,52.8,86.7,18812.0,0.12,0.34,2014,0.97,0.95,0.97,0.96,0.53,0.88,0.16,0.17,0.63
8.0,"University of California, Berkeley",89.8,83.2,97.5,99.3,59.5,57.3,36186.0,0.16,0.15,2014,0.95,0.87,0.99,0.99,0.6,0.58,0.3,0.22,0.28
9.0,University of Chicago,87.8,85.6,88.2,98.0,50.82,58.6,14221.0,0.07,0.21,2014,0.93,0.9,0.9,0.98,0.51,0.6,0.12,0.1,0.39
10.0,Imperial College London,87.5,84.5,88.1,90.0,72.3,91.8,15060.0,0.12,0.51,2014,0.92,0.89,0.89,0.9,0.72,0.93,0.12,0.17,0.94
11.0,Yale University,87.4,89.5,90.5,93.5,38.7,57.6,11751.0,0.04,0.2,2014,0.92,0.94,0.92,0.94,0.39,0.59,0.1,0.06,0.37
12.0,"University of California, Los Angeles",86.3,84.8,91.0,95.6,50.82,46.4,38206.0,0.1,0.15,2014,0.91,0.89,0.92,0.96,0.51,0.47,0.32,0.14,0.28
13.0,Columbia University,85.2,86.6,79.1,95.6,50.82,68.0,25055.0,0.06,0.28,2014,0.9,0.91,0.8,0.96,0.51,0.69,0.21,0.08,0.52
14.0,ETH Zurich – Swiss Federal Institute of Technology Zurich,84.5,77.6,88.2,85.0,78.8,96.7,18178.0,0.15,0.37,2014,0.89,0.81,0.9,0.85,0.79,0.98,0.15,0.21,0.69
15.0,Johns Hopkins University,83.7,75.7,85.1,95.0,100.0,59.3,15128.0,0.04,0.23,2014,0.88,0.79,0.86,0.95,1.0,0.6,0.13,0.06,0.43
16.0,University of Pennsylvania,81.0,79.8,81.2,95.0,45.2,40.6,20376.0,0.06,0.2,2014,0.85,0.84,0.82,0.95,0.45,0.41,0.17,0.08,0.37
17.0,Duke University,79.3,73.9,73.0,96.7,100.0,50.0,15172.0,0.05,0.17,2014,0.84,0.78,0.74,0.97,1.0,0.51,0.13,0.07,0.31
18.0,University of Michigan,79.2,70.0,86.2,90.8,53.5,49.5,41786.0,0.09,0.16,2014,0.83,0.73,0.88,0.91,0.54,0.5,0.35,0.12,0.3
19.0,Cornell University,79.1,72.1,83.8,90.8,35.8,55.6,21424.0,0.1,0.19,2014,0.83,0.76,0.85,0.91,0.36,0.57,0.18,0.14,0.35
20.0,University of Toronto,78.3,73.6,81.5,84.5,45.8,70.0,66198.0,0.2,0.15,2014,0.83,0.77,0.83,0.84,0.46,0.71,0.55,0.28,0.28
21.0,University College London,77.6,70.5,77.5,84.1,46.8,90.2,26607.0,0.11,0.46,2014,0.82,0.74,0.79,0.84,0.47,0.92,0.22,0.15,0.85
22.0,Northwestern University,77.1,70.2,76.0,97.1,61.9,34.4,18334.0,0.14,0.15,2014,0.81,0.74,0.77,0.97,0.62,0.35,0.15,0.19,0.28
23.0,University of Tokyo,76.4,84.7,88.0,69.8,56.7,29.6,26199.0,0.06,0.1,2014,0.81,0.89,0.89,0.7,0.57,0.3,0.22,0.08,0.19
24.0,Carnegie Mellon University,76.0,63.1,77.4,93.9,52.5,58.1,11885.0,0.13,0.35,2014,0.8,0.66,0.79,0.94,0.52,0.59,0.1,0.18,0.65
25.0,University of Washington,73.4,65.6,69.2,95.6,43.1,43.2,44020.0,0.12,0.13,2014,0.77,0.69,0.7,0.96,0.43,0.44,0.36,0.17,0.24
26.0,National University of Singapore,72.4,68.0,77.8,66.4,64.3,94.3,31592.0,0.16,0.34,2014,0.76,0.71,0.79,0.66,0.64,0.96,0.26,0.22,0.63
27.0,University of Texas at Austin,72.2,64.7,69.0,91.3,59.6,42.4,49427.0,0.17,0.09,2014,0.76,0.68,0.7,0.91,0.6,0.43,0.41,0.24,0.17
28.0,Georgia Institute of Technology,71.6,59.4,68.6,87.9,71.3,67.8,19967.0,0.2,0.26,2014,0.75,0.62,0.7,0.88,0.71,0.69,0.17,0.28,0.48
29.0,University of Illinois at Urbana-Champaign,71.4,66.0,78.9,79.4,50.82,41.1,42727.0,0.19,0.2,2014,0.75,0.69,0.8,0.79,0.51,0.42,0.35,0.26,0.37
30.0,University of Wisconsin-Madison,71.1,69.8,67.7,87.2,51.2,32.3,39655.0,0.11,0.11,2014,0.75,0.73,0.69,0.87,0.51,0.33,0.33,0.15,0.2
31.0,University of British Columbia,70.8,59.9,67.9,83.7,43.1,84.2,50152.0,0.18,0.25,2014,0.75,0.63,0.69,0.84,0.43,0.86,0.41,0.25,0.46
32.0,London School of Economics and Political Science,69.8,65.2,74.2,69.2,43.6,81.7,23499.91,0.19,0.16,2014,0.74,0.68,0.75,0.69,0.44,0.83,0.19,0.26,0.3
33.0,"University of California, Santa Barbara",68.4,47.8,58.2,99.4,86.7,61.8,22020.0,0.27,0.11,2014,0.72,0.5,0.59,0.99,0.87,0.63,0.18,0.38,0.2
34.0,University of Melbourne,68.2,57.1,64.2,80.2,65.1,81.3,40128.0,0.24,0.35,2014,0.72,0.6,0.65,0.8,0.65,0.83,0.33,0.33,0.65
35.0,McGill University,68.1,61.5,68.1,74.5,40.8,77.8,31326.0,0.14,0.23,2014,0.72,0.65,0.69,0.74,0.41,0.79,0.26,0.19,0.43
36.0,Karolinska Institute,67.8,58.1,67.7,76.0,68.7,73.2,7774.0,0.12,0.22,2014,0.71,0.61,0.69,0.76,0.69,0.75,0.06,0.17,0.41
37.0,École Polytechnique Fédérale de Lausanne,67.7,52.9,48.3,95.9,49.2,98.2,9666.0,0.1,0.54,2014,0.71,0.56,0.49,0.96,0.49,1.0,0.08,0.14,1.0
38.0,King’s College London,67.6,56.2,56.8,87.6,38.3,86.0,21394.0,0.11,0.37,2014,0.71,0.59,0.58,0.88,0.38,0.88,0.18,0.15,0.69
39.0,University of Edinburgh,67.5,56.6,56.9,87.6,42.5,81.5,25774.0,0.14,0.36,2014,0.71,0.59,0.58,0.88,0.42,0.83,0.21,0.19,0.67
40.0,New York University,67.4,65.4,58.4,87.9,29.9,41.8,42056.0,0.07,0.19,2014,0.71,0.69,0.59,0.88,0.3,0.43,0.35,0.1,0.35
41.0,"University of California, San Diego",67.4,52.0,63.0,96.7,48.4,35.6,27233.0,0.06,0.11,2014,0.71,0.55,0.64,0.97,0.48,0.36,0.23,0.08,0.2
42.0,Washington University in St Louis,67.2,59.5,52.9,96.4,50.82,44.6,12528.0,0.06,0.17,2014,0.71,0.62,0.54,0.96,0.51,0.45,0.1,0.08,0.31
43.0,University of Hong Kong,65.3,61.6,69.9,61.5,56.9,80.3,19835.0,0.18,0.38,2014,0.69,0.65,0.71,0.62,0.57,0.82,0.16,0.25,0.7
44.0,Seoul National University,65.2,76.4,79.2,47.3,86.0,29.4,26389.0,0.14,0.1,2014,0.69,0.8,0.8,0.47,0.86,0.3,0.22,0.19,0.19
45.0,Peking University,65.0,72.3,58.1,62.8,99.9,60.6,40148.0,0.08,0.14,2014,0.68,0.76,0.59,0.63,1.0,0.62,0.33,0.11,0.26
46.0,University of Minnesota,64.9,61.4,62.7,81.2,50.82,31.7,46825.0,0.18,0.13,2014,0.68,0.64,0.64,0.81,0.51,0.32,0.39,0.25,0.24
47.0,University of North Carolina at Chapel Hill,64.5,57.6,55.3,90.2,39.1,35.0,26518.0,0.07,0.08,2014,0.68,0.6,0.56,0.9,0.39,0.36,0.22,0.1,0.15
48.0,Australian National University,64.4,51.8,65.1,71.2,44.8,91.4,14604.0,0.19,0.35,2014,0.68,0.54,0.66,0.71,0.45,0.93,0.12,0.26,0.65
49.0,Pennsylvania State University,64.2,55.3,65.9,79.4,60.0,33.7,44501.0,0.12,0.12,2014,0.68,0.58,0.67,0.79,0.6,0.34,0.37,0.17,0.22
50.0,Boston University,63.5,56.5,46.1,95.3,31.1,44.2,24789.0,0.09,0.17,2014,0.67,0.59,0.47,0.95,0.31,0.45,0.2,0.12,0.31
51.0,Tsinghua University,63.5,66.8,65.9,59.9,99.9,42.6,39763.0,0.14,0.1,2014,0.67,0.7,0.67,0.6,1.0,0.43,0.33,0.19,0.19
52.0,Brown University,63.2,55.4,52.0,91.3,33.5,37.7,8653.0,0.1,0.19,2014,0.67,0.58,0.53,0.91,0.34,0.38,0.07,0.14,0.35
53.0,Kyoto University,63.2,69.5,69.5,58.2,78.7,27.5,22809.0,0.06,0.07,2014,0.67,0.73,0.71,0.58,0.79,0.28,0.19,0.08,0.13
54.0,"University of California, Davis",63.2,55.5,56.4,81.2,51.3,53.7,35364.0,0.14,0.13,2014,0.67,0.58,0.57,0.81,0.51,0.55,0.29,0.19,0.24
55.0,LMU Munich,63.1,55.4,54.1,83.3,41.4,56.3,35691.0,0.16,0.13,2014,0.66,0.58,0.55,0.83,0.41,0.57,0.3,0.22,0.24
56.0,Korea Advanced Institute of Science and Technology (KAIST),62.9,65.6,60.0,67.0,100.0,34.3,9027.0,0.1,0.09,2014,0.66,0.69,0.61,0.67,1.0,0.35,0.07,0.14,0.17
57.0,Hong Kong University of Science and Technology,62.5,52.4,59.7,72.3,58.5,77.0,11385.0,0.24,0.36,2014,0.66,0.55,0.61,0.72,0.58,0.78,0.09,0.33,0.67
58.0,University of Manchester,62.3,54.5,52.2,77.3,40.8,80.9,34938.0,0.15,0.34,2014,0.66,0.57,0.53,0.77,0.41,0.82,0.29,0.21,0.63
59.0,Ohio State University,62.0,58.3,52.9,79.4,47.7,48.1,51462.0,0.13,0.12,2014,0.65,0.61,0.54,0.79,0.48,0.49,0.43,0.18,0.22
60.0,Pohang University of Science and Technology,61.7,54.2,49.0,85.7,100.0,33.8,3055.0,0.1,0.04,2014,0.65,0.57,0.5,0.86,1.0,0.34,0.03,0.14,0.07
61.0,KU Leuven,61.3,48.6,59.9,72.9,99.9,58.6,42503.0,0.42,0.18,2014,0.65,0.51,0.61,0.73,1.0,0.6,0.35,0.58,0.33
62.0,Purdue University,60.7,53.7,62.5,67.0,50.82,60.6,39256.0,0.18,0.22,2014,0.64,0.56,0.63,0.67,0.51,0.62,0.32,0.25,0.41
63.0,The University of Queensland,59.9,43.4,58.0,73.3,61.0,79.7,34718.0,0.33,0.27,2014,0.63,0.46,0.59,0.73,0.61,0.81,0.29,0.46,0.5
64.0,University of Göttingen,59.9,45.1,48.8,89.6,41.2,51.5,25581.0,0.26,0.12,2014,0.63,0.47,0.5,0.9,0.41,0.52,0.21,0.36,0.22
65.0,Rice University,59.8,44.1,35.5,99.9,35.2,67.7,6333.0,0.09,0.26,2014,0.63,0.46,0.36,1.0,0.35,0.69,0.05,0.12,0.48
66.0,École Normale Supérieure,59.8,54.6,37.1,87.0,44.7,67.1,2400.0,0.08,0.2,2014,0.63,0.57,0.38,0.87,0.45,0.68,0.02,0.11,0.37
67.0,Leiden University,59.4,41.9,53.2,84.2,49.8,58.5,21222.0,0.17,0.1,2014,0.63,0.44,0.54,0.84,0.5,0.6,0.18,0.24,0.19
68.0,Heidelberg University,59.2,57.8,44.8,76.0,42.1,61.3,28881.0,0.24,0.17,2014,0.62,0.61,0.45,0.76,0.42,0.62,0.24,0.33,0.31
69.0,Delft University of Technology,59.1,55.8,67.3,47.2,100.0,74.2,15920.0,0.19,0.25,2014,0.62,0.59,0.68,0.47,1.0,0.76,0.13,0.26,0.46
70.0,University of Southern California,59.0,58.7,43.2,81.2,34.6,43.4,36534.0,0.13,0.2,2014,0.62,0.62,0.44,0.81,0.35,0.44,0.3,0.18,0.37
71.0,École Polytechnique,59.0,46.3,40.5,82.3,74.0,86.1,2429.0,0.05,0.3,2014,0.62,0.49,0.41,0.82,0.74,0.88,0.02,0.07,0.56
72.0,University of Sydney,58.8,47.4,55.4,66.6,66.3,84.8,41868.0,0.2,0.28,2014,0.62,0.5,0.56,0.67,0.66,0.86,0.35,0.28,0.52
73.0,Erasmus University Rotterdam,58.1,37.8,53.3,81.2,56.0,66.6,20580.0,0.19,0.18,2014,0.61,0.4,0.54,0.81,0.56,0.68,0.17,0.26,0.33
74.0,University of Basel,57.7,39.1,41.0,81.4,98.5,91.1,12551.0,0.17,0.24,2014,0.61,0.41,0.42,0.81,0.98,0.93,0.1,0.24,0.44
75.0,Utrecht University,57.7,36.3,54.7,82.0,85.6,49.2,30779.0,0.15,0.07,2014,0.61,0.38,0.56,0.82,0.86,0.5,0.25,0.21,0.13
76.0,Nanyang Technological University,57.2,37.7,54.3,67.5,100.0,91.0,25028.0,0.16,0.33,2014,0.6,0.4,0.55,0.68,1.0,0.93,0.21,0.22,0.61
77.0,Wageningen University and Research Center,56.8,43.1,44.3,74.1,100.0,78.3,9248.0,0.17,0.21,2014,0.6,0.45,0.45,0.74,1.0,0.8,0.08,0.24,0.39
78.0,University of Pittsburgh,56.7,48.6,45.4,84.4,39.4,29.4,26485.0,0.06,0.1,2014,0.6,0.51,0.46,0.84,0.39,0.3,0.22,0.08,0.19
79.0,University of Bristol,56.3,39.6,41.2,84.9,38.0,75.0,17906.0,0.14,0.25,2014,0.59,0.42,0.42,0.85,0.38,0.76,0.15,0.19,0.46
80.0,Durham University,56.1,38.3,38.3,88.2,35.3,76.8,15489.0,0.16,0.24,2014,0.59,0.4,0.39,0.88,0.35,0.78,0.13,0.22,0.44
81.0,Emory University,56.1,50.4,31.6,90.8,43.2,42.4,12338.0,0.04,0.18,2014,0.59,0.53,0.32,0.91,0.43,0.43,0.1,0.06,0.33
82.0,Tufts University,56.1,46.7,32.1,93.9,39.1,43.4,10410.0,0.1,0.14,2014,0.59,0.49,0.33,0.94,0.39,0.44,0.09,0.14,0.26
83.0,Michigan State University,55.9,50.0,49.1,71.5,32.0,52.6,44750.0,0.16,0.15,2014,0.59,0.52,0.5,0.72,0.32,0.54,0.37,0.22,0.28
84.0,University of Amsterdam,55.9,38.3,54.1,75.0,50.2,58.3,24570.0,0.14,0.11,2014,0.59,0.4,0.55,0.75,0.5,0.59,0.2,0.19,0.2
85.0,Ghent University,55.5,41.0,48.9,74.9,94.6,49.5,32166.0,0.34,0.09,2014,0.58,0.43,0.5,0.75,0.95,0.5,0.27,0.47,0.17
86.0,Free University of Berlin,55.3,43.8,58.0,64.8,34.4,58.7,33062.0,0.39,0.2,2014,0.58,0.46,0.59,0.65,0.34,0.6,0.27,0.54,0.37
87.0,Technical University of Munich,55.2,48.2,35.2,80.7,50.1,63.1,35565.0,0.32,0.2,2014,0.58,0.51,0.36,0.81,0.5,0.64,0.29,0.44,0.37
88.0,Case Western Reserve University,55.0,51.0,38.6,82.8,50.82,35.4,9259.0,0.06,0.17,2014,0.58,0.54,0.39,0.83,0.51,0.36,0.08,0.08,0.31
89.0,Vanderbilt University,55.0,46.8,38.7,86.5,51.0,28.6,12161.0,0.04,0.1,2014,0.58,0.49,0.39,0.86,0.51,0.29,0.1,0.06,0.19
90.0,University of Notre Dame,54.7,41.2,34.7,91.8,31.2,47.5,11829.0,0.14,0.1,2014,0.58,0.43,0.35,0.92,0.31,0.48,0.1,0.19,0.19
91.0,Monash University,54.6,42.5,48.9,65.4,67.0,78.3,50882.0,0.4,0.36,2014,0.58,0.45,0.5,0.65,0.67,0.8,0.42,0.56,0.67
92.0,McMaster University,54.5,35.3,42.7,79.4,86.9,68.0,23823.0,0.19,0.15,2014,0.57,0.37,0.43,0.79,0.87,0.69,0.2,0.26,0.28
93.0,"University of California, Irvine",54.1,37.1,40.8,89.7,44.9,36.4,26614.0,0.16,0.16,2014,0.57,0.39,0.41,0.9,0.45,0.37,0.22,0.22,0.3
