rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
1,University of Oxford,20775,0.11,0.41,95.6,91.3,99.6,98.0,68.7,96.4,2021,1.0,0.97,1.0,0.98,0.69,0.96,0.04,0.03,0.49
2,Stanford University,16223,0.07,0.23,94.9,92.2,96.7,99.9,90.1,79.5,2021,0.99,0.98,0.97,1.0,0.9,0.8,0.03,0.02,0.27
3,Harvard University,21261,0.09,0.25,94.8,94.4,98.8,99.4,46.8,77.7,2021,0.99,1.0,0.99,0.99,0.47,0.78,0.04,0.03,0.3
4,California Institute of Technology,2238,0.06,0.33,94.5,92.5,96.9,97.0,92.7,83.6,2021,0.99,0.98,0.97,0.97,0.93,0.84,0.0,0.02,0.39
5,Massachusetts Institute of Technology,11276,0.08,0.34,94.4,90.7,94.4,99.7,90.4,90.0,2021,0.99,0.96,0.95,1.0,0.9,0.9,0.02,0.02,0.4
6,University of Cambridge,19370,0.11,0.38,94.0,90.3,99.2,95.6,52.1,95.7,2021,0.98,0.96,1.0,0.96,0.52,0.96,0.04,0.03,0.45
7,"University of California, Berkeley",39918,0.2,0.17,92.2,85.8,97.2,99.1,84.3,72.3,2021,0.96,0.91,0.98,0.99,0.84,0.72,0.08,0.06,0.2
8,Yale University,12910,0.06,0.2,91.6,91.9,93.8,97.9,56.1,68.4,2021,0.96,0.97,0.94,0.98,0.56,0.68,0.03,0.02,0.24
9,Princeton University,8091,0.08,0.23,91.5,88.8,92.5,98.9,58.0,80.2,2021,0.96,0.94,0.93,0.99,0.58,0.8,0.02,0.02,0.27
10,The University of Chicago,14292,0.06,0.31,90.3,88.9,90.5,98.6,54.9,74.0,2021,0.94,0.94,0.91,0.99,0.55,0.74,0.03,0.02,0.37
11,Imperial College London,17175,0.12,0.58,89.4,82.3,88.2,97.2,69.6,97.4,2021,0.94,0.87,0.89,0.97,0.7,0.97,0.03,0.04,0.69
12,Johns Hopkins University,16432,0.04,0.27,89.2,81.6,91.8,97.7,93.4,73.9,2021,0.93,0.86,0.92,0.98,0.93,0.74,0.03,0.01,0.32
13,University of Pennsylvania,20771,0.06,0.21,88.9,85.4,89.9,98.1,77.9,66.3,2021,0.93,0.9,0.9,0.98,0.78,0.66,0.04,0.02,0.25
14,ETH Zurich,19632,0.13,0.4,87.9,80.4,92.3,90.5,62.8,98.0,2021,0.92,0.85,0.93,0.9,0.63,0.98,0.04,0.04,0.48
15,"University of California, Los Angeles",41673,0.1,0.17,87.1,82.5,90.2,96.5,57.6,65.3,2021,0.91,0.87,0.91,0.96,0.58,0.65,0.08,0.03,0.2
16,UCL,34590,0.11,0.55,86.9,76.6,89.4,96.2,42.1,96.5,2021,0.91,0.81,0.9,0.96,0.42,0.96,0.07,0.03,0.65
17,Columbia University,27384,0.06,0.39,86.8,85.1,82.9,97.7,45.0,79.8,2021,0.91,0.9,0.83,0.98,0.45,0.8,0.05,0.02,0.46
18,University of Toronto,74502,0.2,0.22,86.0,75.4,90.9,94.5,50.0,87.2,2021,0.9,0.8,0.91,0.94,0.5,0.87,0.15,0.06,0.26
19,Cornell University,23016,0.1,0.25,85.3,78.8,86.7,97.2,36.3,73.7,2021,0.89,0.83,0.87,0.97,0.36,0.74,0.04,0.03,0.3
20,Duke University,15489,0.04,0.21,84.8,80.7,80.4,96.9,99.7,65.5,2021,0.89,0.85,0.81,0.97,1.0,0.66,0.03,0.01,0.25
21,Tsinghua University,37484,0.12,0.13,84.8,87.7,94.9,78.8,100.0,51.1,2021,0.89,0.93,0.95,0.79,1.0,0.51,0.07,0.04,0.15
22,University of Michigan-Ann Arbor,43873,0.08,0.17,84.0,79.0,86.9,95.4,47.2,59.6,2021,0.88,0.84,0.87,0.95,0.47,0.6,0.09,0.02,0.2
23,Peking University,38583,0.11,0.16,83.9,89.6,91.3,75.4,96.3,61.2,2021,0.88,0.95,0.92,0.75,0.96,0.61,0.08,0.03,0.19
24,Northwestern University,18529,0.13,0.19,83.6,74.9,83.6,98.2,69.9,64.5,2021,0.87,0.79,0.84,0.98,0.7,0.64,0.04,0.04,0.23
25,National University of Singapore,30943,0.18,0.26,83.5,75.9,90.8,81.5,77.8,94.8,2021,0.87,0.8,0.91,0.82,0.78,0.95,0.06,0.05,0.31
26,New York University,44474,0.09,0.34,81.9,76.1,80.6,96.0,37.3,69.6,2021,0.86,0.81,0.81,0.96,0.37,0.7,0.09,0.03,0.4
27,London School of Economics and Political Science,10660,0.12,0.72,81.4,68.5,82.5,94.3,34.1,92.8,2021,0.85,0.73,0.83,0.94,0.34,0.93,0.02,0.04,0.86
28,Carnegie Mellon University,14058,0.14,0.48,81.0,65.1,81.3,98.9,53.3,80.5,2021,0.85,0.69,0.82,0.99,0.53,0.8,0.03,0.04,0.57
29,University of Washington,46258,0.11,0.17,80.4,69.8,80.5,98.7,45.6,60.9,2021,0.84,0.74,0.81,0.99,0.46,0.61,0.09,0.03,0.2
30,University of Edinburgh,30650,0.12,0.42,79.4,67.2,74.7,96.0,38.7,94.6,2021,0.83,0.71,0.75,0.96,0.39,0.95,0.06,0.04,0.5
31,University of Melbourne,50094,0.27,0.48,78.9,67.1,76.3,90.1,74.2,93.9,2021,0.83,0.71,0.77,0.9,0.74,0.94,0.1,0.08,0.57
32,LMU Munich,34249,0.34,0.17,78.2,68.7,78.7,87.9,100.0,68.1,2021,0.82,0.73,0.79,0.88,1.0,0.68,0.07,0.1,0.2
33,"University of California, San Diego",34232,0.12,0.3,77.7,60.3,80.4,94.3,95.6,64.4,2021,0.81,0.64,0.81,0.94,0.96,0.64,0.07,0.04,0.36
34,University of British Columbia,53123,0.19,0.32,76.4,62.1,75.1,90.0,44.7,94.7,2021,0.8,0.66,0.75,0.9,0.45,0.95,0.1,0.06,0.38
35,King’s College London,27400,0.12,0.46,76.1,57.3,72.4,96.6,43.6,95.4,2021,0.8,0.61,0.73,0.97,0.44,0.95,0.05,0.04,0.55
36,Karolinska Institute,7696,0.09,0.26,76.0,57.6,72.2,95.8,71.4,87.3,2021,0.79,0.61,0.72,0.96,0.71,0.87,0.01,0.03,0.31
37,The University of Tokyo,25935,0.11,0.13,76.0,87.9,90.7,57.7,82.6,40.1,2021,0.79,0.93,0.91,0.58,0.83,0.4,0.05,0.03,0.15
38,Georgia Institute of Technology,26043,0.24,0.27,75.8,59.5,76.8,91.1,65.8,78.9,2021,0.79,0.63,0.77,0.91,0.66,0.79,0.05,0.07,0.32
39,University of Hong Kong,18135,0.18,0.43,75.2,67.5,73.3,80.3,57.4,99.0,2021,0.79,0.72,0.74,0.8,0.57,0.99,0.04,0.05,0.51
40,McGill University,31578,0.13,0.31,75.1,64.2,73.4,86.4,43.7,91.3,2021,0.79,0.68,0.74,0.86,0.44,0.91,0.06,0.04,0.37
41,Technical University of Munich,32377,0.4,0.31,74.8,63.8,73.6,85.0,100.0,74.4,2021,0.78,0.68,0.74,0.85,1.0,0.74,0.06,0.12,0.37
42,Universität Heidelberg,20020,0.14,0.18,74.3,67.5,61.7,96.6,56.9,68.4,2021,0.78,0.72,0.62,0.97,0.57,0.68,0.04,0.04,0.21
43,École Polytechnique Fédérale de Lausanne,10942,0.12,0.6,74.1,63.9,66.7,85.8,73.3,98.5,2021,0.78,0.68,0.67,0.86,0.73,0.98,0.02,0.04,0.71
44,University of Texas at Austin,49510,0.17,0.1,74.0,67.9,74.8,90.5,46.2,39.4,2021,0.77,0.72,0.75,0.9,0.46,0.39,0.1,0.05,0.12
45,KU Leuven,45617,0.36,0.15,73.7,58.7,74.4,86.1,97.2,72.7,2021,0.77,0.62,0.75,0.86,0.97,0.73,0.09,0.11,0.18
46,Paris Sciences et Lettres – PSL Research University Paris,20701,0.15,0.24,73.6,71.2,73.0,75.9,61.7,80.6,2021,0.77,0.75,0.73,0.76,0.62,0.81,0.04,0.04,0.29
47,"Nanyang Technological University, Singapore",23902,0.15,0.25,72.7,57.1,71.9,83.0,83.2,94.0,2021,0.76,0.6,0.72,0.83,0.83,0.94,0.05,0.04,0.3
48,University of Illinois at Urbana-Champaign,45980,0.18,0.24,72.3,62.5,79.1,81.3,49.5,55.1,2021,0.76,0.66,0.79,0.81,0.5,0.55,0.09,0.05,0.29
49,University of Wisconsin-Madison,39451,0.1,0.13,71.4,68.2,71.4,82.5,45.0,48.4,2021,0.75,0.72,0.72,0.82,0.45,0.48,0.08,0.03,0.15
50,Washington University in St Louis,13693,0.08,0.21,71.1,61.2,58.7,99.0,40.4,59.1,2021,0.74,0.65,0.59,0.99,0.4,0.59,0.03,0.02,0.25
51,University of Manchester,36555,0.14,0.41,70.9,57.1,66.5,85.6,49.2,91.7,2021,0.74,0.6,0.67,0.86,0.49,0.92,0.07,0.04,0.49
52,The University of Sydney,46453,0.19,0.43,70.9,51.3,64.4,92.3,69.3,90.0,2021,0.74,0.54,0.65,0.92,0.69,0.9,0.09,0.06,0.51
53,University of Southern California,41953,0.13,0.23,70.4,63.8,58.4,93.1,39.2,64.9,2021,0.74,0.68,0.59,0.93,0.39,0.65,0.08,0.04,0.27
54,Boston University,26510,0.11,0.28,70.3,58.9,60.9,94.9,41.7,64.9,2021,0.74,0.62,0.61,0.95,0.42,0.65,0.05,0.03,0.33
55,Kyoto University,22935,0.09,0.11,70.3,77.9,79.9,60.8,74.6,37.8,2021,0.74,0.83,0.8,0.61,0.75,0.38,0.04,0.03,0.13
56,Chinese University of Hong Kong,18675,0.19,0.33,70.1,55.7,59.1,89.4,58.6,98.3,2021,0.73,0.59,0.59,0.89,0.59,0.98,0.04,0.06,0.39
57,The Hong Kong University of Science and Technology,9976,0.22,0.3,70.1,52.1,63.0,88.9,63.6,97.4,2021,0.73,0.55,0.63,0.89,0.64,0.97,0.02,0.06,0.36
58,University of North Carolina at Chapel Hill,30956,0.08,0.08,70.1,60.6,63.3,96.3,42.5,39.7,2021,0.73,0.64,0.64,0.96,0.42,0.4,0.06,0.02,0.1
59,Australian National University,18801,0.18,0.47,69.8,48.5,68.3,88.4,43.0,96.2,2021,0.73,0.51,0.69,0.88,0.43,0.96,0.04,0.05,0.56
60,Seoul National University,26757,0.15,0.11,69.7,72.4,73.8,68.8,97.8,37.4,2021,0.73,0.77,0.74,0.69,0.98,0.37,0.05,0.04,0.13
61,Brown University,9695,0.11,0.2,69.5,62.4,56.6,94.0,36.1,62.3,2021,0.73,0.66,0.57,0.94,0.36,0.62,0.02,0.03,0.24
62,The University of Queensland,40389,0.36,0.38,69.4,54.3,61.0,85.9,81.0,93.0,2021,0.73,0.58,0.61,0.86,0.81,0.93,0.08,0.11,0.45
63,Wageningen University & Research,14356,0.21,0.27,69.4,48.2,56.4,97.3,100.0,83.7,2021,0.73,0.51,0.57,0.97,1.0,0.84,0.03,0.06,0.32
64,"University of California, Davis",36395,0.14,0.17,68.9,60.5,66.2,81.9,50.4,66.9,2021,0.72,0.64,0.66,0.82,0.5,0.67,0.07,0.04,0.2
65,Monash University,57406,0.42,0.43,68.9,52.9,61.7,86.2,73.9,90.3,2021,0.72,0.56,0.62,0.86,0.74,0.9,0.11,0.12,0.51
66,University of Amsterdam,24747,0.13,0.24,68.8,49.1,62.2,92.8,39.9,87.4,2021,0.72,0.52,0.62,0.93,0.4,0.87,0.05,0.04,0.29
67,UNSW Sydney,46234,0.41,0.44,68.2,50.9,62.0,85.3,66.8,94.7,2021,0.71,0.54,0.62,0.85,0.67,0.95,0.09,0.12,0.52
68,"University of California, Santa Barbara",24780,0.28,0.18,67.9,45.8,59.6,96.7,81.8,70.0,2021,0.71,0.49,0.6,0.97,0.82,0.7,0.05,0.08,0.21
69,McMaster University,25285,0.3,0.18,67.5,46.7,53.1,95.8,99.5,83.8,2021,0.71,0.49,0.53,0.96,1.0,0.84,0.05,0.09,0.21
70,Fudan University,32597,0.11,0.13,66.7,65.9,65.6,73.3,67.1,47.7,2021,0.7,0.7,0.66,0.73,0.67,0.48,0.06,0.03,0.15
71,Leiden University,30178,0.19,0.18,66.7,45.6,66.0,84.1,72.6,82.2,2021,0.7,0.48,0.66,0.84,0.73,0.82,0.06,0.06,0.21
72,Erasmus University Rotterdam,26453,0.27,0.22,66.2,37.9,57.0,97.6,73.6,87.8,2021,0.69,0.4,0.57,0.98,0.74,0.88,0.05,0.08,0.26
73,University of Montreal,36774,0.2,0.21,65.6,51.1,52.6,87.4,78.3,84.3,2021,0.69,0.54,0.53,0.87,0.78,0.84,0.07,0.06,0.25
74,University of Zurich,22960,0.15,0.21,65.6,50.1,50.4,89.8,64.1,92.1,2021,0.69,0.53,0.51,0.9,0.64,0.92,0.04,0.04,0.25
75,Charité - Universitätsmedizin Berlin,7431,0.17,0.2,65.4,48.3,48.0,97.4,92.1,66.6,2021,0.68,0.51,0.48,0.97,0.92,0.67,0.01,0.05,0.24
76,Utrecht University,32022,0.14,0.1,65.4,43.0,61.1,89.9,65.7,74.1,2021,0.68,0.46,0.61,0.9,0.66,0.74,0.06,0.04,0.12
77,University of Warwick,21775,0.13,0.41,65.3,46.7,53.8,90.1,41.6,94.0,2021,0.68,0.49,0.54,0.9,0.42,0.94,0.04,0.04,0.49
78,Delft University of Technology,19594,0.17,0.31,65.2,54.4,71.6,60.0,98.9,92.8,2021,0.68,0.58,0.72,0.6,0.99,0.93,0.04,0.05,0.37
79,University of Tübingen,27590,0.37,0.14,65.2,53.3,59.7,81.9,77.1,64.3,2021,0.68,0.56,0.6,0.82,0.77,0.64,0.05,0.11,0.17
80,University of Groningen,28392,0.24,0.23,65.1,41.2,56.2,92.6,69.8,85.1,2021,0.68,0.44,0.56,0.93,0.7,0.85,0.06,0.07,0.27
81,Humboldt University of Berlin,33388,0.56,0.18,65.1,60.6,67.8,68.3,37.6,68.3,2021,0.68,0.64,0.68,0.68,0.38,0.68,0.06,0.17,0.21
