rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1.0,California Institute of Technology,95.2,95.6,97.6,99.8,97.8,64.0,2243.0,6.9,0.27,2016
2.0,University of Oxford,94.2,86.5,98.9,98.8,73.1,94.4,19919.0,11.6,0.34,2016
3.0,Stanford University,93.9,92.5,96.2,99.9,63.3,76.3,15596.0,7.8,0.22,2016
4.0,University of Cambridge,92.8,88.2,96.7,97.0,55,91.5,18812.0,11.8,0.34,2016
5.0,Massachusetts Institute of Technology,92.0,89.4,88.6,99.7,95.4,84.0,11074.0,9.0,0.33,2016
6.0,Harvard University,91.6,83.6,99.0,99.8,45.2,77.2,20152.0,8.9,0.25,2016
7.0,Princeton University,90.1,85.1,91.9,99.3,52.1,78.5,7929.0,8.4,0.27,2016
8.0,Imperial College London,89.1,83.3,88.5,96.7,53.7,96.0,15060.0,11.7,0.51,2016
9.0,ETH Zurich – Swiss Federal Institute of Technology Zurich,88.3,77.0,95.0,91.1,80,97.9,18178.0,14.7,0.37,2016
10.0,University of Chicago,87.9,85.7,88.9,99.2,36.6,65.0,14221.0,6.9,0.21,2016
11.0,Johns Hopkins University,87.6,77.6,90.4,98.2,100,70.0,15128.0,3.6,0.23,2016
12.0,Yale University,87.4,86.5,87.8,97.2,43.3,64.3,11751.0,4.4,0.2,2016
13.0,"University of California, Berkeley",87.2,80.4,91.1,99.7,47.9,61.9,36186.0,16.4,0.15,2016
14.0,University College London,87.1,78.1,91.0,94.2,40.5,94.4,26607.0,10.7,0.46,2016
15.0,Columbia University,86.1,85.9,82.2,98.1,-,73.5,25055.0,5.9,0.28,2016
16.0,"University of California, Los Angeles",85.8,80.8,88.6,98.5,47.9,56.4,38206.0,10.3,0.15,2016
17.0,University of Pennsylvania,85.2,82.0,86.9,98.6,47.9,49.5,20376.0,6.5,0.2,2016
18.0,Cornell University,84.0,77.9,86.1,97.2,33.7,63.9,21424.0,10.2,0.19,2016
19.0,University of Toronto,83.9,75.9,89.3,90.9,49.1,77.8,66198.0,19.5,0.15,2016
20.0,Duke University,82.7,76.0,78.0,99.0,100,56.5,15172.0,4.8,0.17,2016
21.0,University of Michigan,82.4,76.8,85.2,94.4,56.3,53.7,41786.0,9.0,0.16,2016
22.0,Carnegie Mellon University,82.3,67.4,88.8,99.1,57.5,57.1,11885.0,13.1,0.35,2016
23.0,London School of Economics and Political Science,81.3,69.8,80.6,94.3,32.2,93.6,,,,2016
24.0,University of Edinburgh,80.3,68.6,77.2,96.3,36.1,89.8,25774.0,14.1,0.36,2016
25.0,Northwestern University,79.5,69.8,78.4,96.5,81.2,53.9,18334.0,13.8,0.15,2016
26.0,National University of Singapore,79.2,71.7,84.5,79.4,49.8,96.2,31592.0,15.5,0.34,2016
27.0,King’s College London,78.2,64.5,75.8,93.8,40.1,93.8,21394.0,11.4,0.37,2016
28.0,Karolinska Institute,77.5,60.6,81.1,92.2,75.8,73.1,7774.0,11.5,0.22,2016
29.0,LMU Munich,77.3,70.5,77.4,85.7,100,62.8,35691.0,15.5,0.13,2016
30.0,New York University,77.2,74.7,72.3,95.3,30.4,49.3,42056.0,6.8,0.19,2016
31.0,École Polytechnique Fédérale de Lausanne,76.1,61.3,67.5,94.6,65.4,98.6,9666.0,10.5,0.54,2016
32.0,University of Washington,75.6,67.1,70.0,98.6,43.1,51.2,44020.0,11.8,0.13,2016
33.0,University of Melbourne,75.4,62.0,75.5,86.6,64.6,87.1,40128.0,23.7,0.35,2016
34.0,University of British Columbia,75.3,60.2,73.2,91.5,42.6,90.5,50152.0,17.6,0.25,2016
35.0,KU Leuven,74.8,59.9,76.9,87.3,100,68.6,42503.0,41.9,0.18,2016
36.0,University of Illinois at Urbana-Champaign,74.5,64.5,81.2,86.8,52.8,45.8,42727.0,18.7,0.2,2016
37.0,Heidelberg University,74.4,68.8,69.6,88.2,68.2,62.8,28881.0,24.5,0.17,2016
38.0,McGill University,72.6,66.1,72.1,78.9,40.3,85.5,31326.0,13.7,0.23,2016
39.0,"University of California, San Diego",72.2,56.9,69.8,98.7,56.7,42.9,27233.0,6.5,0.11,2016
40.0,"University of California, Santa Barbara",72.2,52.6,66.0,99.2,90.4,61.5,22020.0,27.3,0.11,2016
41.0,Georgia Institute of Technology,72.1,57.8,72.7,86.0,73.7,71.5,19967.0,20.1,0.26,2016
42.0,Peking University,72.0,77.8,72.4,69.1,100,49.2,40148.0,8.3,0.14,2016
43.0,University of Tokyo,71.1,81.4,83.0,60.9,50.8,30.3,26199.0,5.7,0.1,2016
44.0,"University of California, Davis",71.0,60.1,72.7,84.3,57.3,58.4,35364.0,13.9,0.13,2016
45.0,University of Hong Kong,71.0,64.6,72.8,70.1,53.7,99.5,19835.0,17.6,0.38,2016
46.0,University of Texas at Austin,70.3,59.3,69.7,92.2,63.1,31.7,49427.0,17.4,0.09,2016
47.0,Tsinghua University,70.0,73.3,83.0,58.8,100,39.5,39763.0,13.7,0.1,2016
48.0,Wageningen University and Research Center,70.0,52.6,66.9,87.8,100,70.3,9248.0,17.0,0.21,2016
49.0,Humboldt University of Berlin,69.9,63.7,77.0,73.6,36.1,62.6,29987.0,52.5,0.16,2016
50.0,University of Wisconsin-Madison,69.7,65.1,68.2,86.6,48.5,33.0,39655.0,10.8,0.11,2016
51.0,Brown University,69.6,62.8,55.7,96.4,31.4,57.8,8653.0,10.1,0.19,2016
52.0,Australian National University,69.5,54.7,77.3,72.3,48,93.3,14604.0,19.2,0.35,2016
53.0,Technical University of Munich,69.4,61.0,66.0,80.1,99.2,63.8,35565.0,31.5,0.2,2016
54.0,École Normale Supérieure,69.0,70.6,47.7,87.1,37.1,85.5,2400.0,7.9,0.2,2016
55.0,Nanyang Technological University,68.2,48.4,61.3,85.6,99.9,94.6,25028.0,16.2,0.33,2016
56.0,University of Manchester,68.1,58.4,66.0,77.3,42,87.0,34938.0,15.3,0.34,2016
57.0,University of Sydney,68.1,54.3,68.1,77.5,72.4,84.4,41868.0,20.2,0.28,2016
58.0,University of Amsterdam,67.8,52.2,64.7,87.4,62.8,66.5,24570.0,14.4,0.11,2016
59.0,Hong Kong University of Science and Technology,67.2,49.4,66.1,82.6,68.1,80.5,11385.0,23.8,0.36,2016
60.0,The University of Queensland,67.0,49.2,62.8,82.4,76.7,89.3,34718.0,32.7,0.27,2016
61.0,Washington University in St Louis,67.0,54.3,55.6,99.2,33.5,44.9,12528.0,5.7,0.17,2016
62.0,Utrecht University,66.6,48.1,64.3,88.1,89.1,55.8,30779.0,15.4,0.07,2016
63.0,University of North Carolina at Chapel Hill,66.4,58.0,54.5,95.9,39.4,39.0,26518.0,7.3,0.08,2016
64.0,Boston University,66.1,57.8,49.5,97.7,30.3,51.0,24789.0,8.6,0.17,2016
65.0,Delft University of Technology,65.9,55.0,73.8,61.5,100,84.0,15920.0,19.4,0.25,2016
66.0,University of Minnesota,65.9,53.5,61.0,88.0,98.5,35.3,46825.0,18.0,0.13,2016
67.0,Leiden University,65.7,50.5,63.1,85.2,49.8,64.3,21222.0,17.1,0.1,2016
68.0,University of Southern California,65.5,49.3,58.9,93.0,38,56.3,36534.0,12.9,0.2,2016
69.0,University of Bristol,64.3,47.6,51.6,91.2,40,82.4,17906.0,14.0,0.25,2016
70.0,Durham University,63.6,47.9,51.9,87.7,34.4,86.4,15489.0,15.7,0.24,2016
71.0,Erasmus University Rotterdam,63.5,37.2,55.2,95.6,54.6,76.1,20580.0,18.9,0.18,2016
72.0,Free University of Berlin,63.2,57.9,72.2,60.2,35.1,69.2,33062.0,39.3,0.2,2016
73.0,Monash University,62.5,48.1,58.5,73.3,79.7,87.6,50882.0,40.5,0.36,2016
74.0,University of Groningen,62.4,43.3,56.9,84.0,92.4,63.9,24556.0,25.6,0.12,2016
75.0,Pennsylvania State University,62.3,50.4,61.9,80.5,56.2,40.8,44501.0,12.4,0.12,2016
76.0,University of Glasgow,61.9,41.6,48.3,92.3,31.6,85.8,22616.0,16.0,0.29,2016
77.0,University of Helsinki,61.9,48.4,60.4,82.1,31.6,51.8,23505.0,15.1,0.06,2016
78.0,University of Tübingen,61.7,47.0,59.8,79.3,59.2,58.2,28327.0,38.9,0.12,2016
79.0,University of Pittsburgh,61.5,50.6,50.3,92.3,39.3,33.9,26485.0,5.8,0.1,2016
80.0,University of Warwick,61.3,47.4,53.1,78.2,37.7,90.3,18529.0,16.6,0.37,2016
81.0,Uppsala University,61.2,44.1,61.0,80.9,39.5,59.6,25266.0,18.2,0.12,2016
82.0,University of Copenhagen,61.0,49.8,42.7,86.2,45,83.3,27545.0,4.1,0.19,2016
83.0,University of New South Wales,61.0,40.7,53.9,82.1,50,89.5,38309.0,25.9,0.33,2016
84.0,University of Freiburg,60.7,47.4,51.1,80.5,100,60.3,26467.0,31.2,0.16,2016
85.0,Seoul National University,60.5,66.5,70.5,50.0,85.4,30.9,26389.0,13.9,0.1,2016
86.0,University of St Andrews,60.4,49.7,47.3,78.8,30.6,92.3,8338.0,12.7,0.47,2016
87.0,Vanderbilt University,60.1,47.8,44.2,95.7,63.2,29.1,12161.0,3.6,0.1,2016
88.0,Kyoto University,59.9,70.6,69.3,46.6,79,26.1,22809.0,5.6,0.07,2016
89.0,Maastricht University,59.9,37.5,47.7,82.7,95.4,95.5,15626.0,18.9,0.48,2016
90.0,Emory University,59.7,48.3,37.1,96.7,48.9,51.0,12338.0,4.5,0.18,2016
91.0,Lund University,59.7,39.7,53.6,81.3,70.4,74.1,28251.0,11.5,0.15,2016
92.0,Ohio State University,59.7,51.6,46.6,83.2,53.1,53.0,51462.0,13.4,0.12,2016
93.0,University of Exeter,59.5,39.4,40.0,94.3,31.9,87.3,17755.0,18.8,0.28,2016
94.0,University of Bonn,58.8,45.1,47.5,85.3,-,63.6,32474.0,70.4,0.13,2016
95.0,Georgetown University,58.8,54.4,39.3,82.5,80.7,52.7,15408.0,8.5,0.14,2016
96.0,McMaster University,58.8,39.8,44.8,84.9,88,76.1,23823.0,19.3,0.15,2016
97.0,University of Sheffield,58.6,42.4,48.8,80.1,43.4,81.9,23311.0,15.5,0.31,2016
98.0,Queen Mary University of London,58.5,34.1,41.3,93.3,36.8,93.5,14260.0,14.0,0.4,2016
99.0,University of Göttingen,58.0,49.3,54.5,72.7,31.8,56.4,25581.0,25.6,0.12,2016
100.0,Michigan State University,58.0,47.3,52.6,76.8,32.2,56.4,44750.0,15.7,0.15,2016
101.0,University of Basel,57.9,39.5,33.1,88.3,99.9,94.7,12551.0,17.3,0.24,2016
102.0,École Polytechnique,57.9,53.5,44.6,64.7,82.3,92.8,2429.0,4.8,0.3,2016
103.0,Rice University,57.9,37.9,35.1,99.7,41.7,66.6,6333.0,9.0,0.26,2016
104.0,Dartmouth College,57.8,50.7,35.8,93.3,40.8,38.3,6178.0,6.6,0.16,2016
105.0,University of Zurich,57.8,49.5,31.5,85.4,44,90.4,26583.0,6.5,0.19,2016
106.0,Aarhus University,57.7,36.9,50.7,79.8,68.3,76.8,23895.0,13.6,0.14,2016
107.0,"University of California, Irvine",57.7,39.9,41.8,91.6,48.9,59.2,26614.0,16.1,0.16,2016
108.0,University of Mannheim,57.7,34.5,47.7,86.9,85.3,64.6,11761.0,85.8,0.15,2016
109.0,University of Notre Dame,57.6,47.6,48.1,81.7,33.7,47.6,11829.0,13.8,0.1,2016
110.0,University of Western Australia,57.5,33.4,46.1,83.6,64.5,92.6,20851.0,20.7,0.27,2016
111.0,RWTH Aachen University,57.2,49.4,56.3,63.2,98.1,54.1,37917.0,27.6,0.16,2016
112.0,University of Southampton,57.2,39.8,43.6,82.0,37.5,88.4,20925.0,13.5,0.29,2016
113.0,Scuola Normale Superiore di Pisa,57.1,54.2,53.1,67.2,52,46.3,462.0,16.5,0.05,2016
114.0,University of Montreal,57.0,46.3,45.5,69.6,92.6,84.2,38264.0,20.3,0.25,2016
115.0,Pierre and Marie Curie University,57.0,52.8,32.7,82.9,37.4,74.1,27862.0,8.7,0.18,2016
116.0,Purdue University,57.0,50.2,57.7,63.2,-,66.4,39256.0,18.1,0.22,2016
117.0,Pohang University of Science and Technology,56.9,49.1,47.1,76.7,100,33.7,3055.0,10.1,0.04,2016
118.0,"University of Maryland, College Park",56.7,45.0,42.1,88.2,32.3,43.5,31331.0,8.4,0.09,2016
119.0,Ghent University,56.6,42.1,54.5,71.2,88.3,54.2,32166.0,34.1,0.09,2016
120.0,University of Birmingham,56.2,39.4,41.8,82.7,34.7,82.0,25295.0,16.4,0.23,2016
121.0,University of Bern,56.1,40.0,42.5,76.6,82.9,83.7,14708.0,22.5,0.14,2016
122.0,University of Cape Town,56.1,34.9,38.7,85.6,92.7,80.2,20040.0,12.1,0.18,2016
123.0,University of Florida,56.1,51.8,56.8,67.7,-,33.3,50095.0,18.7,0.09,2016
124.0,University of Erlangen-Nuremberg,56.0,51.7,39.7,75.2,99.4,47.0,36146.0,53.9,0.09,2016
125.0,"Rutgers, the State University of New Jersey",56.0,43.9,55.7,75.4,35.9,34.7,37032.0,17.3,0.08,2016
126.0,University of Münster,55.9,40.3,44.1,85.6,58.2,46.3,39838.0,46.1,0.08,2016
127.0,Radboud University Nijmegen,55.9,34.3,48.5,84.9,39.2,60.9,17713.0,13.0,0.1,2016
128.0,University of Colorado Boulder,55.8,39.7,37.6,96.4,35.7,36.6,29325.0,16.1,0.08,2016
129.0,Tufts University,55.8,45.2,33.3,90.1,60.7,49.4,10410.0,10.0,0.14,2016
130.0,"Royal Holloway, University of London",55.7,35.1,33.2,91.2,34.4,92.7,8747.0,15.9,0.37,2016
131.0,Lancaster University,55.6,34.0,41.4,85.3,33.6,87.0,11512.0,14.9,0.33,2016
132.0,University of Geneva,55.4,34.9,40.5,78.5,72.4,98.5,15668.0,15.0,0.39,2016
133.0,University of York,55.4,41.9,46.3,73.1,31.1,83.5,,,,2016
134.0,Case Western Reserve University,55.3,46.1,33.2,92.0,34.1,40.5,9259.0,6.4,0.17,2016
135.0,University of Leeds,55.3,43.7,39.0,79.2,36.7,77.4,27703.0,14.7,0.21,2016
136.0,University of Oslo,55.1,43.3,44.7,75.5,38.3,68.2,27139.0,18.8,0.18,2016
137.0,Stockholm University,54.8,34.1,51.2,82.5,31.1,48.5,31715.0,23.7,0.08,2016
138.0,University of Alberta,54.7,46.4,48.1,63.6,47.4,80.7,36299.0,21.6,0.23,2016
139.0,Chinese University of Hong Kong,54.5,41.5,48.5,68.4,37.5,81.1,17916.0,10.2,0.22,2016
140.0,Karlsruhe Institute of Technology,54.5,37.7,47.5,73.8,99.5,56.7,25294.0,24.6,0.16,2016
141.0,University of Sussex,54.4,33.4,37.2,86.1,30.6,88.3,12001.0,17.4,0.35,2016
142.0,University of Massachusetts,54.3,40.2,36.3,88.1,52.2,48.9,56959.0,13.0,0.11,2016
143.0,University of Vienna,54.2,40.8,50.5,63.6,30.2,92.6,34651.0,20.5,0.25,2016
144.0,University of Nottingham,54.1,40.3,39.0,77.5,39.8,80.6,30144.0,15.0,0.27,2016
145.0,"University of California, Santa Cruz",53.9,31.1,34.2,99.9,36.1,45.6,17404.0,22.7,0.01,2016
146.0,University of Lausanne,53.9,30.9,45.6,76.2,56,89.2,11964.0,13.1,0.22,2016
147.0,Autonomous University of Barcelona,53.8,40.3,40.0,83.8,34.9,50.3,30538.0,12.3,0.1,2016
148.0,University of Virginia,53.3,38.8,37.5,87.3,37.9,43.4,23845.0,10.2,0.12,2016
149.0,Korea Advanced Institute of Science and Technology (KAIST),53.0,43.3,40.5,75.9,100,33.9,9027.0,10.0,0.09,2016
150.0,University of Adelaide,52.9,32.8,43.2,72.4,79.3,85.1,20771.0,30.1,0.26,2016
151.0,University of East Anglia,52.9,31.9,28.7,92.7,28.5,83.5,14992.0,14.7,0.28,2016
152.0,University of Twente,52.9,34.1,45.6,68.8,91.2,80.1,6631.0,12.0,0.26,2016
153.0,Sungkyunkwan University (SKKU),52.8,51.4,53.5,53.8,97.5,36.7,24365.0,20.3,0.09,2016
154.0,VU University Amsterdam,52.5,28.4,37.1,90.7,60.1,54.9,23280.0,16.3,0.06,2016
155.0,KTH Royal Institute of Technology,52.4,39.0,44.3,63.9,78.1,84.4,12062.0,14.6,0.21,2016
156.0,University of Cologne,52.3,42.2,38.0,75.0,68.5,53.1,43280.0,43.4,0.11,2016
157.0,University of Liverpool,52.2,32.8,30.9,85.9,36.6,85.4,18815.0,13.6,0.3,2016
158.0,TU Dresden,52.1,41.4,45.8,66.1,99.7,47.7,35487.0,37.4,0.12,2016
159.0,University of Rochester,52.1,39.7,27.9,89.0,37,55.8,9390.0,4.5,0.26,2016
160.0,Trinity College Dublin,52.0,41.9,30.8,75.8,28,90.5,15521.0,18.0,0.25,2016
161.0,Lomonosov Moscow State University,51.9,75.4,66.7,8.6,95.7,57.8,30822.0,7.7,0.2,2016
162.0,University of Miami,51.9,41.7,22.3,90.1,35.5,64.0,15286.0,5.7,0.14,2016
163.0,University of Arizona,51.7,38.7,41.8,79.5,32.4,38.6,36429.0,12.7,0.08,2016
164.0,Pompeu Fabra University,51.2,32.9,28.0,90.7,37.2,63.3,10901.0,18.3,0.13,2016
165.0,University of Reading,51.2,39.3,37.3,69.9,34.2,85.1,12050.0,14.8,0.28,2016
166.0,Yeshiva University,51.2,44.8,23.7,92.8,-,28.5,6753.0,5.5,0.07,2016
167.0,"University of California, Riverside",51.1,27.5,33.3,91.2,42.5,59.5,20626.0,22.0,0.12,2016
168.0,University of Leicester,51.1,32.1,27.8,86.0,31.7,86.6,14541.0,13.4,0.35,2016
169.0,National Taiwan University,51.1,54.1,58.0,47.3,49.6,27.7,31891.0,11.9,0.07,2016
170.0,Technical University of Denmark,51.1,37.3,29.9,77.8,50,85.1,9990.0,5.0,0.18,2016
171.0,Université Catholique de Louvain,51.1,38.7,40.6,68.4,51,74.2,28856.0,42.0,0.19,2016
172.0,University of Aberdeen,51.0,29.7,31.4,82.6,43.1,91.4,12938.0,15.8,0.33,2016
173.0,University of Auckland,51.0,31.4,39.5,69.8,78,90.5,29787.0,18.9,0.28,2016
174.0,University of Barcelona,50.9,38.5,37.4,78.9,31.1,49.2,47491.0,12.2,0.1,2016
175.0,University of Konstanz,50.8,38.5,46.7,61.9,92.4,58.3,10930.0,59.1,0.12,2016
176.0,Eindhoven University of Technology,50.6,34.3,41.0,70.7,57.3,71.3,8176.0,16.0,0.14,2016
177.0,University College Dublin,50.6,35.0,38.5,70.8,33.5,86.3,22193.0,24.5,0.23,2016
178.0,Hebrew University of Jerusalem,50.5,45.8,41.4,64.6,31.9,55.6,17612.0,10.7,0.05,2016
179.0,University of Waterloo,50.3,35.4,43.9,66.5,39.5,74.4,30726.0,24.2,0.14,2016
180.0,University of Gothenburg,50.2,28.5,39.8,81.8,30.3,58.3,26420.0,16.4,0.12,2016
181.0,Scuola Superiore Sant’Anna,50.2,42.5,23.2,84.5,71.2,45.2,769.0,8.5,0.17,2016
182.0,University of Bergen,50.1,32.5,31.5,82.4,36.2,70.0,11623.0,11.1,0.12,2016
