rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,20835,10.7,42%,96.0,91.0,99.6,98.0,74.4,96.3,2022
2,California Institute of Technology,2233,6.3,34%,95.0,93.6,96.9,97.8,90.4,83.8,2022
3,Harvard University,21574,9.5,24%,95.0,94.5,98.9,99.2,48.9,79.8,2022
4,Stanford University,16319,7.3,23%,95.0,92.3,96.8,99.9,91.0,79.7,2022
5,University of Cambridge,19680,11.1,39%,95.0,90.9,99.5,96.2,56.7,95.8,2022
6,Massachusetts Institute of Technology,11459,8.4,33%,95.0,90.9,94.4,99.7,93.7,89.9,2022
7,Princeton University,7753,7.5,23%,94.0,89.5,96.0,99.0,88.8,80.7,2022
8,"University of California, Berkeley",40306,18.9,23%,92.0,85.7,96.0,99.1,84.7,77.6,2022
9,Yale University,13317,5.9,21%,91.0,90.7,93.0,97.0,56.2,69.9,2022
10,The University of Chicago,14895,6.1,33%,90.0,87.2,90.6,98.3,56.3,74.4,2022
11,Columbia University,21608,4.6,35%,90.0,87.8,89.6,97.3,48.0,79.8,2022
12,Imperial College London,17715,11.2,59%,89.0,81.4,88.3,97.6,70.8,97.5,2022
13,Johns Hopkins University,16552,4.3,28%,88.0,80.0,90.8,97.2,93.7,74.6,2022
14,University of Pennsylvania,21211,6.4,22%,88.0,84.5,89.2,97.1,77.6,69.7,2022
15,ETH Zurich,20428,14.4,41%,88.0,81.3,92.4,90.7,62.5,97.9,2022
16,Peking University,31606,10.2,19%,88.0,91.4,94.6,81.7,93.1,65.1,2022
17,Tsinghua University,38221,11.5,13%,88.0,88.1,95.7,86.8,100.0,50.6,2022
18,University of Toronto,75821,25.5,25%,87.0,77.6,93.0,92.6,61.2,89.1,2022
19,UCL,35760,10.6,57%,87.0,76.8,88.9,96.9,44.7,96.7,2022
20,"University of California, Los Angeles",42054,10.0,17%,87.0,82.1,89.8,96.0,56.5,65.1,2022
21,National University of Singapore,31819,18.8,25%,85.0,76.3,90.6,87.3,75.4,94.4,2022
22,Cornell University,23600,10.3,25%,85.0,78.6,85.4,97.2,38.3,75.4,2022
23,Duke University,15785,4.2,22%,84.0,79.2,78.6,95.6,99.0,66.6,2022
24,University of Michigan-Ann Arbor,44663,8.1,17%,83.0,78.6,85.4,94.0,48.9,59.5,2022
25,Northwestern University,18735,13.0,19%,83.0,74.3,82.1,97.6,81.6,65.3,2022
26,New York University,45424,11.0,35%,82.0,75.4,83.1,94.7,41.4,72.3,2022
27,London School of Economics and Political Science,10910,12.1,72%,81.0,68.0,80.8,94.4,35.8,92.7,2022
28,Carnegie Mellon University,14163,13.5,47%,81.0,64.7,80.0,99.0,59.0,80.8,2022
29,University of Washington,52059,11.6,17%,80.0,68.8,78.8,99.0,46.3,61.7,2022
30,University of Edinburgh,31630,12.1,44%,79.0,66.1,74.2,95.6,40.2,95.2,2022
31,University of Hong Kong,18037,18.3,43%,79.0,66.2,72.2,95.0,58.5,98.8,2022
32,LMU Munich,34274,33.7,18%,79.0,68.1,77.9,90.3,100.0,69.1,2022
33,University of Melbourne,52098,26.5,50%,78.0,67.5,73.8,88.4,74.9,94.0,2022
34,"University of California, San Diego",36256,12.2,29%,78.0,60.5,75.6,97.9,96.6,68.1,2022
35,King’s College London,28250,12.0,49%,76.0,57.6,71.2,96.9,43.7,95.9,2022
36,The University of Tokyo,25959,10.6,14%,76.0,86.9,90.3,58.2,88.1,42.0,2022
37,University of British Columbia,54744,18.9,33%,76.0,61.6,74.0,89.4,47.4,94.9,2022
38,Technical University of Munich,32672,38.7,33%,76.0,64.5,74.8,85.5,100.0,76.1,2022
39,Karolinska Institute,7937,9.6,24%,74.0,55.1,71.0,94.2,70.5,86.2,2022
40,École Polytechnique Fédérale de Lausanne,11266,12.3,62%,74.0,63.8,67.0,85.5,74.9,98.3,2022
41,Paris Sciences et Lettres – PSL Research University Paris,20547,15.1,25%,74.0,69.1,71.2,80.1,78.7,80.5,2022
42,Universität Heidelberg,19530,13.9,19%,74.0,67.9,59.9,95.5,54.2,69.6,2022
43,KU Leuven,46327,36.3,16%,74.0,59.1,73.2,86.2,99.2,74.2,2022
44,McGill University,31581,12.6,32%,73.0,63.3,70.9,83.9,45.3,91.5,2022
45,Georgia Institute of Technology,27838,25.7,25%,73.0,58.2,69.4,91.4,71.4,77.7,2022
46,"Nanyang Technological University, Singapore",23951,14.7,24%,73.0,57.2,70.3,85.1,87.0,93.9,2022
47,University of Texas at Austin,49845,16.7,10%,73.0,67.9,71.5,89.4,50.1,39.8,2022
48,University of Illinois at Urbana-Champaign,47202,18.3,23%,73.0,65.7,77.3,80.9,50.0,55.4,2022
49,Chinese University of Hong Kong,18478,19.1,25%,71.0,55.1,58.6,95.0,60.2,95.0,2022
50,University of Manchester,36545,14.3,43%,71.0,56.4,65.0,89.1,45.6,92.4,2022
51,Washington University in St Louis,14243,7.9,22%,71.0,60.5,57.5,98.5,44.9,62.1,2022
52,University of North Carolina at Chapel Hill,31064,8.1,8%,71.0,62.2,63.4,95.6,45.0,41.1,2022
53,Wageningen University & Research,14871,20.2,27%,70.0,50.1,58.1,95.6,100.0,86.4,2022
54,Australian National University,18934,17.6,47%,70.0,49.8,67.7,87.8,47.8,96.5,2022
55,The University of Queensland,41914,35.8,41%,70.0,55.0,62.0,85.8,86.2,93.4,2022
56,Seoul National University,26871,15.4,11%,70.0,73.8,73.8,68.5,98.2,36.9,2022
57,Monash University,60211,44.1,45%,70.0,54.3,61.7,87.7,79.2,91.0,2022
58,The University of Sydney,47956,19.3,47%,70.0,51.8,62.2,90.5,66.1,90.9,2022
59,University of Wisconsin-Madison,39783,10.3,14%,70.0,67.4,69.5,79.2,47.5,50.4,2022
60,Fudan University,33140,11.1,12%,70.0,66.8,68.4,79.0,70.7,48.6,2022
61,Kyoto University,22299,9.2,11%,70.0,78.5,78.9,58.3,80.8,38.2,2022
62,Boston University,27785,11.0,29%,70.0,57.3,60.2,93.8,46.5,65.5,2022
63,University of Southern California,42502,13.2,24%,69.0,62.1,58.8,90.3,41.2,65.5,2022
64,Brown University,9851,10.6,20%,69.0,62.2,56.6,92.9,37.4,61.9,2022
65,University of Amsterdam,25556,13.1,29%,69.0,49.0,63.3,91.6,41.6,89.8,2022
66,The Hong Kong University of Science and Technology,10147,21.3,31%,69.0,50.9,62.1,86.6,65.1,97.6,2022
67,"University of California, Davis",37222,13.2,19%,68.0,58.8,64.6,81.5,50.7,68.9,2022
68,"University of California, Santa Barbara",25578,28.2,19%,68.0,45.2,58.9,96.6,79.8,73.6,2022
69,Utrecht University,33569,18.1,11%,68.0,46.6,63.1,90.1,77.0,76.3,2022
70,UNSW Sydney,48077,40.5,44%,67.0,50.4,60.4,84.1,72.7,95.2,2022
71,Leiden University,31556,19.4,19%,67.0,44.8,65.1,86.8,71.8,84.1,2022
72,Erasmus University Rotterdam,28933,29.3,22%,67.0,40.2,57.8,97.0,76.5,88.5,2022
73,Charité - Universitätsmedizin Berlin,7998,18.7,21%,67.0,48.6,50.6,98.7,92.2,68.1,2022
74,Humboldt University of Berlin,33868,54.2,18%,66.0,59.9,66.7,73.5,41.6,70.1,2022
75,Delft University of Technology,20133,17.0,31%,66.0,57.1,71.1,59.4,97.7,93.6,2022
76,Zhejiang University,40352,11.8,20%,66.0,67.2,69.9,58.6,100.0,61.6,2022
77,University of Zurich,23714,15.0,22%,66.0,52.2,49.6,89.4,61.9,92.5,2022
78,University of Tübingen,20438,26.2,14%,65.0,53.3,58.7,82.9,82.7,65.2,2022
79,University of Warwick,22710,14.2,43%,65.0,46.9,53.0,90.7,44.8,94.5,2022
80,University of Groningen,29440,23.8,27%,65.0,42.5,55.3,90.6,81.1,88.7,2022
81,McMaster University,26112,30.2,20%,65.0,44.3,50.6,93.1,98.3,85.1,2022
82,Emory University,13179,4.4,20%,65.0,55.1,44.9,98.1,48.2,59.7,2022
83,Free University of Berlin,27018,43.2,23%,65.0,55.4,65.2,72.9,41.9,75.7,2022
84,Shanghai Jiao Tong University,36638,11.3,10%,65.0,64.2,71.9,59.3,100.0,47.0,2022
85,Ohio State University (Main campus),55809,12.4,13%,64.0,54.7,52.2,86.1,53.2,60.6,2022
86,University of Glasgow,27625,13.9,40%,64.0,41.9,49.9,94.0,40.7,93.1,2022
87,University of Minnesota,61321,12.0,10%,64.0,55.9,57.9,81.7,80.4,40.8,2022
88,University of Montreal,36524,19.6,23%,64.0,50.4,52.9,81.7,69.5,85.7,2022
89,University of Science and Technology of China,16718,7.3,5%,64.0,63.4,61.5,72.8,70.3,34.5,2022
90,Sorbonne University,42330,14.2,21%,64.0,61.0,53.6,76.6,38.2,70.4,2022
91,Hong Kong Polytechnic University,21979,26.4,29%,63.0,45.4,53.9,83.7,46.0,97.1,2022
92,Institut Polytechnique de Paris,6087,6.9,40%,63.0,57.3,54.7,69.0,77.1,94.5,2022
93,University of Bristol,24110,14.4,30%,63.0,40.6,49.2,94.7,43.7,89.1,2022
94,"University of Maryland, College Park",34017,16.7,11%,63.0,49.3,56.8,89.8,39.3,42.9,2022
95,Michigan State University,45689,16.0,14%,63.0,58.1,56.1,77.2,37.7,62.0,2022
96,University of Copenhagen,30326,4.2,18%,63.0,46.8,47.1,88.8,54.4,86.8,2022
97,Ghent University,38984,35.7,11%,63.0,48.9,58.4,79.2,83.3,62.4,2022
98,"University of California, Irvine",35944,17.1,28%,62.0,42.5,49.0,93.8,52.0,73.2,2022
99,Dartmouth College,6378,7.6,15%,62.0,60.1,40.2,93.6,38.9,41.7,2022
100,Korea Advanced Institute of Science and Technology (KAIST),9504,10.3,10%,62.0,64.1,66.5,59.3,100.0,38.0,2022
101,University of Bern,11556,16.6,16%,62.0,45.0,44.9,88.2,90.6,87.3,2022
102,University of Helsinki,22628,15.7,6%,62.0,44.3,56.9,88.5,37.8,57.3,2022
103,University of Basel,9440,12.3,30%,62.0,42.9,42.0,89.5,99.9,97.0,2022
104,Aarhus University,26521,13.6,9%,62.0,39.3,58.4,82.4,74.9,76.9,2022
105,University of Birmingham,31365,14.9,32%,62.0,40.3,45.2,93.3,40.6,91.7,2022
106,Nanjing University,37137,17.1,9%,62.0,54.9,54.6,74.0,86.8,56.6,2022
107,Purdue University West Lafayette,43411,16.6,21%,62.0,56.7,65.2,59.6,68.9,70.9,2022
108,University of Freiburg,21416,39.7,12%,61.0,47.1,51.8,82.2,97.2,61.4,2022
109,RWTH Aachen University,45628,55.5,25%,61.0,55.3,61.6,64.1,98.7,62.0,2022
110,University of Sheffield,27265,15.3,38%,61.0,45.5,46.4,86.3,48.8,87.8,2022
111,University of Adelaide,22061,30.6,32%,61.0,35.6,45.2,94.3,65.5,93.7,2022
112,University of Bonn,27743,49.8,16%,61.0,48.4,48.7,85.2,55.5,67.1,2022
113,National Taiwan University (NTU),24810,11.4,12%,61.0,55.8,64.7,64.8,75.4,46.9,2022
114,Vanderbilt University,12366,3.0,16%,61.0,48.6,43.8,94.1,56.9,48.7,2022
115,Vrije Universiteit Amsterdam,26593,18.6,14%,61.0,39.9,51.5,87.8,59.3,75.4,2022
116,Lund University,28498,11.2,19%,61.0,39.6,53.1,83.1,82.0,79.9,2022
117,Université Paris-Saclay,40884,12.7,19%,60.0,51.6,47.9,80.2,56.4,68.2,2022
118,Queen Mary University of London,19975,13.5,46%,60.0,33.7,41.6,98.1,42.7,97.1,2022
119,University of Göttingen,30610,26.6,14%,60.0,46.8,50.0,84.9,37.7,62.2,2022
120,University of Oslo,21413,13.2,19%,60.0,40.5,46.5,89.5,44.3,80.4,2022
121,Penn State (Main campus),46513,14.1,16%,60.0,49.3,60.3,75.3,40.7,47.5,2022
