name,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,m+1,m-1
Aberystwyth University,,,,0.36,0.35,0.33,0.33,0.31,0.35,0.37,0.38,0.4,0.39,0.39,0.4,,,,,,,0.39,0.01
Auburn University,,,,,,0.47,,,,0.37,0.4,0.39,0.41,0.4,0.4,0.42,0.44,,,,,0.4,-0.01
Boston College,,,,,,,,,0.52,0.24,0.5,0.49,0.46,0.47,0.44,0.44,0.45,0.34,0.34,0.35,0.37,0.47,0.01
Durham University,,,,0.34,0.3,0.34,0.35,0.35,0.34,0.37,0.37,0.38,0.38,0.37,0.38,0.39,,,,,,0.37,0.01
La Trobe University,,,,,,,,,,0.29,,,,0.44,0.46,0.58,0.54,0.51,0.5,0.47,0.52,0.44,0.44
McGill University,,,,0.52,0.35,0.4,0.41,0.39,0.4,0.42,0.4,0.42,0.43,0.44,0.45,0.44,,,,,,0.44,-0.0
Ulster University,,,,,,,,,0.29,0.33,0.33,0.35,0.36,0.34,0.37,0.39,,,,,,0.34,0.02
University College Dublin,,,,0.52,0.32,0.35,0.33,0.34,0.34,0.37,0.38,0.41,0.44,0.44,0.49,0.47,,,,,,0.44,0.0
University of Auckland,,,,,,0.61,0.77,0.77,0.74,0.74,0.78,0.7,0.67,0.62,0.62,0.75,0.69,0.56,,,,0.62,0.0
University of Birmingham,0.35,0.36,0.38,0.37,0.36,0.35,0.38,0.37,0.4,0.39,0.4,0.41,0.42,,,,,,,,,,0.01
University of Cincinnati,,,,,,,0.32,0.33,0.36,0.36,0.36,0.35,,,,0.39,,,,,,,0.01
University of Edinburgh,,,,,,,0.42,0.41,0.44,0.42,0.41,0.36,0.35,0.36,0.38,0.39,0.39,0.4,0.41,,,0.36,-0.01
University of Georgia,,,,,0.28,0.31,0.31,0.31,0.31,0.35,0.34,0.37,0.37,0.36,0.38,0.39,,,,,,0.36,0.01
University of Gloucestershire,,,,,,,,,,,,,0.46,0.47,,,,,,,,0.47,0.47
University of Leicester,,,,,,,,,0.34,0.35,0.34,0.35,0.32,0.35,0.35,0.37,0.38,0.38,0.4,0.42,,0.35,-0.0
University of Newcastle,,,,0.65,0.73,0.74,0.76,0.64,0.64,0.63,0.57,0.5,0.53,0.61,0.62,,,,,,,0.61,-0.02
University of Nottingham,,,0.38,0.37,0.38,0.39,0.4,0.4,0.4,0.38,0.41,0.39,0.39,0.4,0.42,,,,,,,0.4,0.0
University of Ottawa,,,,0.37,0.43,0.42,0.46,0.42,0.42,0.4,0.43,0.46,0.46,0.5,0.51,,,,,,,0.5,0.01
University of Portsmouth,,,,,0.29,0.29,0.29,0.29,0.33,0.32,0.34,0.35,0.34,0.36,0.38,,,,,,,0.36,0.01
University of South Australia,,,,,,,,,,0.88,0.84,0.83,0.84,0.86,0.83,0.82,0.8,0.82,0.87,0.84,0.8,0.86,-0.01
University of Wolverhampton,,,,,,,,,,,,,,,,,0.34,0.34,0.34,0.35,0.37,,
York University,,,,,,0.42,0.42,0.36,0.34,0.33,0.37,0.37,0.42,0.45,0.44,0.43,0.42,,,,,0.45,-0.0
