name,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,m+1,m-1
Aberystwyth University,,,,0.12,0.12,0.13,0.15,0.13,0.13,0.13,0.15,0.17,0.17,0.21,0.21,,,,,,,0.21,0.01
Auburn University,,,,,,0.15,,,,0.22,0.26,0.26,0.26,0.26,0.26,0.26,0.26,,,,,0.26,0.03
Boston College,,,,,,,,,0.07,0.08,0.06,0.06,0.05,0.08,0.09,0.13,0.13,0.13,0.13,0.11,0.11,0.08,-0.01
Durham University,,,,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.08,,,,,,0.06,0.0
La Trobe University,,,,,,,,,,0.16,,,,0.16,0.16,0.16,0.14,0.12,0.1,0.09,0.12,0.16,0.16
McGill University,,,,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,0.02,0.0
Ulster University,,,,,,,,,0.21,0.25,0.25,0.33,0.34,0.33,0.33,0.33,,,,,,0.33,0.03
University College Dublin,,,,0.04,0.07,0.08,0.07,0.1,0.08,0.09,0.11,0.1,0.1,0.12,0.1,0.1,,,,,,0.12,0.01
University of Auckland,,,,,,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.08,0.06,0.06,0.06,,,,0.09,0.0
University of Birmingham,0.06,0.06,0.07,0.07,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.04,0.05,,,,,,,,,,-0.0
University of Cincinnati,,,,,,,0.08,0.09,0.1,0.1,0.12,0.13,,,,0.11,,,,,,,0.01
University of Edinburgh,,,,,,,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,-0.0
University of Georgia,,,,,0.09,0.09,0.12,0.13,0.11,0.14,0.16,0.18,0.18,0.18,0.15,0.28,,,,,,0.18,0.01
University of Gloucestershire,,,,,,,,,,,,,0.74,0.81,,,,,,,,0.81,0.81
University of Leicester,,,,,,,,,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,,0.07,-0.0
University of Newcastle,,,,0.13,0.13,0.12,0.11,0.12,0.1,0.12,0.14,0.14,0.12,0.12,0.09,,,,,,,0.12,0.0
University of Nottingham,,,0.08,0.06,0.05,0.07,0.07,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.06,,,,,,,0.06,-0.0
University of Ottawa,,,,0.08,0.07,0.08,0.08,0.1,0.12,0.1,0.08,0.06,0.06,0.07,0.06,,,,,,,0.07,-0.0
University of Portsmouth,,,,,0.14,0.17,0.17,0.2,0.2,0.24,0.2,0.2,0.24,0.24,0.2,,,,,,,0.24,0.01
University of South Australia,,,,,,,,,,0.17,0.15,0.15,0.13,0.16,0.12,0.1,0.1,0.12,0.14,0.14,0.14,0.16,-0.01
University of Wolverhampton,,,,,,,,,,,,,,,,,0.34,0.43,0.42,0.5,0.34,,
York University,,,,,,0.13,0.15,0.13,0.11,0.15,0.15,0.17,0.17,0.21,0.21,0.21,0.21,,,,,0.21,0.01
