name,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,m+1,m-1
Aberystwyth University,,,,277.0,276.0,303.0,353.0,303.0,300.0,299.0,351.0,402.0,397.0,497.0,499.0,,,,,,,497.0,12.35
Auburn University,,,,,,353.0,,,,505.0,603.0,604.0,603.0,610.0,605.0,603.0,606.0,,,,,610.0,59.9
Boston College,,,,,,,,,162.0,195.0,150.0,135.0,126.0,191.0,208.0,306.0,307.0,305.0,301.0,252.0,255.0,191.0,-13.2
Durham University,,,,85.0,83.0,80.0,80.0,83.0,70.0,96.0,97.0,115.0,133.0,149.0,161.0,197.0,,,,,,149.0,4.7
La Trobe University,,,,,,,,,,366.0,,,,367.0,374.0,372.0,321.0,272.0,223.0,219.0,277.0,367.0,367.0
McGill University,,,,35.0,28.0,34.0,35.0,39.0,38.0,42.0,42.0,45.0,42.0,40.0,44.0,46.0,,,,,,40.0,1.47
Ulster University,,,,,,,,,492.0,582.0,587.0,774.0,794.0,781.0,773.0,779.0,,,,,,781.0,79.6
University College Dublin,,,,94.0,160.0,187.0,161.0,240.0,177.0,211.0,247.0,243.0,241.0,291.0,244.0,242.0,,,,,,291.0,13.88
University of Auckland,,,,,,145.0,174.0,161.0,167.0,175.0,173.0,166.0,192.0,201.0,179.0,147.0,136.0,139.0,,,,201.0,3.96
University of Birmingham,146.0,148.0,159.0,153.0,149.0,120.0,130.0,141.0,116.0,112.0,107.0,105.0,108.0,,,,,,,,,,-4.5
University of Cincinnati,,,,,,,191.0,215.0,243.0,239.0,292.0,308.0,,,,259.0,,,,,,,23.2
University of Edinburgh,,,,,,,40.0,36.0,32.0,39.0,36.0,24.0,27.0,27.0,29.0,30.0,30.0,30.0,29.0,,,27.0,-2.11
University of Georgia,,,,,217.0,218.0,291.0,295.0,265.0,317.0,363.0,423.0,432.0,430.0,362.0,654.0,,,,,,430.0,27.35
University of Gloucestershire,,,,,,,,,,,,,1720.0,1898.0,,,,,,,,1898.0,1898.0
University of Leicester,,,,,,,,,199.0,196.0,163.0,199.0,168.0,173.0,159.0,170.0,167.0,171.0,185.0,163.0,,173.0,-5.9
University of Newcastle,,,,298.0,296.0,271.0,266.0,280.0,227.0,276.0,329.0,328.0,273.0,279.0,221.0,,,,,,,279.0,1.61
University of Nottingham,,,176.0,140.0,120.0,158.0,171.0,144.0,148.0,148.0,149.0,153.0,159.0,141.0,130.0,,,,,,,141.0,0.1
University of Ottawa,,,,185.0,173.0,187.0,190.0,230.0,280.0,228.0,177.0,141.0,146.0,162.0,138.0,,,,,,,162.0,-2.79
University of Portsmouth,,,,,339.0,392.0,390.0,473.0,467.0,564.0,464.0,470.0,562.0,568.0,468.0,,,,,,,568.0,22.75
University of South Australia,,,,,,,,,,394.0,340.0,343.0,299.0,383.0,285.0,238.0,238.0,289.0,330.0,334.0,334.0,383.0,-28.2
University of Wolverhampton,,,,,,,,,,,,,,,,,784.0,995.0,978.0,1170.0,786.0,,
York University,,,,,,301.0,349.0,300.0,250.0,350.0,349.0,398.0,396.0,501.0,499.0,496.0,498.0,,,,,501.0,13.77
