rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n,rank_n
221.0,University of Newcastle,24363.0,0.3,0.18,54.34,30.0,35.8,79.3,61.9,84.3,2023,0.56,0.32,0.36,0.79,0.62,0.85,0.05,0.13,0.18,2021,2,0.09
138.0,University of Ottawa,36670.0,0.26,0.24,58.5,41.7,45.4,82.6,51.0,84.1,2023,0.61,0.44,0.46,0.83,0.51,0.84,0.08,0.11,0.24,2021,2,0.06
108.0,University of Birmingham,31820.0,0.15,0.34,62.6,40.5,46.2,95.2,42.3,92.2,2023,0.65,0.43,0.46,0.95,0.42,0.92,0.07,0.06,0.34,2023,0,0.05
197.0,Durham University,18425.0,0.14,0.35,54.4,40.0,44.6,70.0,39.4,94.3,2023,0.56,0.42,0.45,0.7,0.39,0.95,0.04,0.06,0.35,2020,3,0.08
1898.0,University of Gloucestershire,6605.0,0.17,0.11,30.06,27.14,23.35,49.8,46.95,47.37,2023,0.31,0.29,0.23,0.5,0.47,0.48,0.01,0.07,0.11,2022,1,0.81
468.0,University of Portsmouth,22490.0,0.16,0.29,45.87,18.8,19.2,76.3,37.6,91.4,2023,0.48,0.2,0.19,0.76,0.38,0.92,0.05,0.07,0.29,2021,2,0.2
606.0,Auburn University,27512.0,0.18,0.1,42.95,32.4,23.4,45.9,43.8,49.3,2023,0.45,0.34,0.23,0.46,0.44,0.49,0.06,0.08,0.1,2019,4,0.26
242.0,University College Dublin,23361.0,0.21,0.31,53.31,32.6,40.3,73.9,46.9,94.2,2023,0.55,0.34,0.4,0.74,0.47,0.94,0.05,0.09,0.31,2020,3,0.1
786.0,University of Wolverhampton,14900.0,0.17,0.24,40.01,18.2,14.3,68.8,37.3,72.0,2023,0.42,0.19,0.14,0.69,0.37,0.72,0.03,0.07,0.24,2015,8,0.34
334.0,University of South Australia,23490.0,0.33,0.21,49.67,23.0,36.1,70.4,79.5,87.5,2023,0.52,0.24,0.36,0.7,0.8,0.88,0.05,0.14,0.21,2015,8,0.14
277.0,La Trobe University,21663.0,0.27,0.33,51.79,25.9,32.9,83.2,51.8,88.4,2023,0.54,0.27,0.33,0.83,0.52,0.89,0.05,0.12,0.33,2015,8,0.12
130.0,University of Nottingham,32875.0,0.15,0.31,59.6,41.8,44.1,86.6,41.7,90.4,2023,0.62,0.44,0.44,0.87,0.42,0.91,0.07,0.06,0.31,2021,2,0.06
499.0,Aberystwyth University,6180.0,0.16,0.24,45.14,22.3,23.4,64.1,39.8,81.1,2023,0.47,0.24,0.23,0.64,0.4,0.81,0.01,0.07,0.24,2021,2,0.21
29.0,University of Edinburgh,32845.0,0.12,0.47,79.8,66.9,74.5,97.1,40.9,95.6,2023,0.83,0.71,0.75,0.97,0.41,0.96,0.07,0.05,0.47,2017,6,0.01
779.0,Ulster University,17685.0,0.19,0.09,40.11,19.9,22.3,50.5,39.0,77.6,2023,0.42,0.21,0.22,0.5,0.39,0.78,0.04,0.08,0.09,2020,3,0.33
139.0,University of Auckland,33093.0,0.22,0.32,58.4,36.8,44.3,85.4,56.4,94.3,2023,0.61,0.39,0.44,0.85,0.56,0.95,0.07,0.09,0.32,2018,5,0.06
654.0,University of Georgia,37465.0,0.13,0.07,42.09,39.5,25.8,52.8,39.2,37.6,2023,0.44,0.42,0.26,0.53,0.39,0.38,0.08,0.06,0.07,2020,3,0.28
255.0,Boston College,12755.0,0.14,0.12,52.72,48.6,31.5,74.9,37.4,48.5,2023,0.55,0.51,0.32,0.75,0.37,0.49,0.03,0.06,0.12,2015,8,0.11
498.0,York University,44036.0,0.29,0.28,45.16,25.1,33.1,67.0,42.1,75.3,2023,0.47,0.26,0.33,0.67,0.42,0.76,0.1,0.12,0.28,2019,4,0.21
163.0,University of Leicester,14650.0,0.14,0.34,56.9,31.4,32.9,98.7,41.9,92.5,2023,0.59,0.33,0.33,0.99,0.42,0.93,0.03,0.06,0.34,2016,7,0.07
46.0,McGill University,32309.0,0.12,0.3,73.0,62.0,72.4,82.5,43.5,91.0,2023,0.76,0.65,0.73,0.82,0.44,0.91,0.07,0.05,0.3,2020,3,0.02
279.0,University of Newcastle,23706.0,0.29,0.19,51.0,27.1,33.2,78.9,61.4,85.6,2022,0.53,0.29,0.33,0.79,0.61,0.86,0.06,0.14,0.21,2021,1,0.12
162.0,University of Ottawa,35791.0,0.25,0.22,56.7,40.4,40.6,83.3,50.0,82.1,2022,0.59,0.43,0.41,0.83,0.5,0.82,0.08,0.12,0.24,2021,1,0.07
105.0,University of Birmingham,31365.0,0.15,0.32,61.5,40.3,45.2,93.3,40.6,91.7,2022,0.64,0.43,0.45,0.93,0.41,0.92,0.07,0.07,0.35,2023,-1,0.04
161.0,Durham University,17725.0,0.15,0.33,56.7,44.9,47.8,69.7,37.8,93.8,2022,0.59,0.48,0.48,0.7,0.38,0.94,0.04,0.07,0.36,2020,2,0.07
1720.0,University of Gloucestershire,6955.0,0.18,0.1,30.19,27.55,23.34,49.04,46.37,47.31,2022,0.32,0.29,0.23,0.49,0.46,0.47,0.02,0.09,0.11,2022,0,0.74
568.0,University of Portsmouth,21690.0,0.16,0.27,42.87,20.0,17.8,70.6,35.6,90.0,2022,0.45,0.21,0.18,0.71,0.36,0.9,0.05,0.08,0.3,2021,1,0.24
603.0,Auburn University,27469.0,0.19,0.1,42.19,31.1,22.7,47.5,41.8,48.1,2022,0.44,0.33,0.23,0.48,0.42,0.48,0.06,0.09,0.11,2019,3,0.26
244.0,University College Dublin,23066.0,0.23,0.31,52.54,32.2,39.0,71.8,48.7,93.6,2022,0.55,0.34,0.39,0.72,0.49,0.94,0.05,0.11,0.34,2020,2,0.1
1170.0,University of Wolverhampton,14525.0,0.18,0.22,34.6,17.4,13.5,36.7,35.0,67.9,2022,0.36,0.18,0.14,0.37,0.35,0.68,0.03,0.09,0.24,2015,7,0.5
334.0,University of South Australia,22377.0,0.32,0.22,48.95,23.5,36.6,68.1,84.3,88.4,2022,0.51,0.25,0.37,0.68,0.84,0.88,0.05,0.16,0.24,2015,7,0.14
219.0,La Trobe University,26097.0,0.34,0.39,53.77,27.6,34.0,86.3,46.7,89.8,2022,0.56,0.29,0.34,0.86,0.47,0.9,0.06,0.17,0.43,2015,7,0.09
141.0,University of Nottingham,31360.0,0.15,0.3,58.1,43.6,44.2,80.1,40.5,89.2,2022,0.61,0.46,0.44,0.8,0.4,0.89,0.07,0.07,0.33,2021,1,0.06
497.0,Aberystwyth University,6445.0,0.17,0.23,44.4,24.1,24.9,63.0,38.6,79.0,2022,0.46,0.26,0.25,0.63,0.39,0.79,0.02,0.08,0.25,2021,1,0.21
30.0,University of Edinburgh,31630.0,0.12,0.44,78.9,66.1,74.2,95.6,40.2,95.2,2022,0.82,0.7,0.74,0.96,0.4,0.95,0.07,0.06,0.48,2017,5,0.01
773.0,Ulster University,17415.0,0.18,0.09,39.34,24.5,19.6,47.5,37.1,77.7,2022,0.41,0.26,0.2,0.48,0.37,0.78,0.04,0.09,0.1,2020,2,0.33
136.0,University of Auckland,32983.0,0.23,0.32,58.4,34.0,46.3,84.8,69.4,94.6,2022,0.61,0.36,0.46,0.85,0.69,0.95,0.08,0.11,0.35,2018,4,0.06
362.0,University of Georgia,37190.0,0.17,0.07,48.02,42.2,42.4,53.2,38.2,47.0,2022,0.5,0.45,0.43,0.53,0.38,0.47,0.09,0.08,0.08,2020,2,0.15
252.0,Boston College,12958.0,0.15,0.12,52.17,47.5,34.6,64.4,35.1,46.4,2022,0.55,0.5,0.35,0.64,0.35,0.46,0.03,0.07,0.13,2015,7,0.11
496.0,York University,43258.0,0.29,0.27,44.42,27.4,33.9,59.3,43.1,73.5,2022,0.46,0.29,0.34,0.59,0.43,0.74,0.1,0.14,0.3,2019,3,0.21
185.0,University of Leicester,15030.0,0.14,0.31,54.8,30.0,32.3,94.2,39.9,91.0,2022,0.57,0.32,0.32,0.94,0.4,0.91,0.04,0.07,0.34,2016,6,0.08
44.0,McGill University,31581.0,0.13,0.32,73.4,63.3,70.9,83.9,45.3,91.5,2022,0.77,0.67,0.71,0.84,0.45,0.92,0.07,0.06,0.35,2020,2,0.02
