name,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,m+1,m-1
Aberystwyth University,,,,0.21,0.25,0.2,0.22,0.23,0.21,0.27,0.28,0.27,0.25,0.26,0.24,,,,,,,0.26,0.01
Auburn University,,,,,,0.35,,,,0.32,0.33,0.35,0.35,0.35,0.33,0.33,0.34,,,,,0.35,0.0
Boston College,,,,,,,,,0.4,0.28,0.36,0.28,0.35,0.36,0.5,0.41,0.38,0.4,0.51,0.5,0.51,0.36,-0.01
Durham University,,,,0.4,0.34,0.44,0.4,0.4,0.5,0.45,0.5,0.47,0.49,0.47,0.48,0.42,,,,,,0.47,0.01
La Trobe University,,,,,,,,,,0.2,,,,0.28,0.28,0.3,0.27,0.29,0.3,0.29,0.27,0.28,0.28
McGill University,,,,0.69,0.76,0.77,0.65,0.68,0.69,0.7,0.7,0.68,0.7,0.68,0.67,0.65,,,,,,0.68,-0.0
Ulster University,,,,,,,,,0.2,0.2,0.23,0.21,0.23,0.21,0.26,0.21,,,,,,0.21,0.01
University College Dublin,,,,0.43,0.26,0.32,0.28,0.34,0.37,0.33,0.32,0.32,0.33,0.31,0.34,0.34,,,,,,0.31,-0.0
University of Auckland,,,,,,0.35,0.3,0.35,0.28,0.31,0.33,0.34,0.36,0.32,0.34,0.32,0.36,0.39,,,,0.32,0.0
University of Birmingham,0.5,0.44,0.47,0.45,0.46,0.41,0.4,0.4,0.41,0.43,0.43,0.43,0.43,,,,,,,,,,-0.0
University of Cincinnati,,,,,,,0.44,0.3,0.36,0.33,0.34,0.33,,,,0.38,,,,,,,-0.01
University of Edinburgh,,,,,,,0.6,0.66,0.71,0.59,0.63,0.72,0.71,0.74,0.73,0.73,0.71,0.7,0.71,,,0.74,0.01
University of Georgia,,,,,0.46,0.47,0.42,0.43,0.43,0.35,0.33,0.36,0.38,0.43,0.45,0.42,,,,,,0.43,-0.02
University of Gloucestershire,,,,,,,,,,,,,0.29,0.29,,,,,,,,0.29,0.29
University of Leicester,,,,,,,,,0.29,0.34,0.34,0.32,0.34,0.32,0.36,0.32,0.32,0.33,0.32,0.33,,0.32,0.01
University of Newcastle,,,,0.19,0.22,0.22,0.29,0.29,0.31,0.31,0.25,0.26,0.28,0.29,0.32,,,,,,,0.29,0.01
University of Nottingham,,,0.47,0.42,0.5,0.4,0.43,0.42,0.43,0.45,0.45,0.46,0.44,0.46,0.44,,,,,,,0.46,-0.0
University of Ottawa,,,,0.41,0.42,0.38,0.41,0.39,0.4,0.42,0.41,0.45,0.44,0.43,0.44,,,,,,,0.43,0.0
University of Portsmouth,,,,,0.13,0.14,0.17,0.18,0.17,0.21,0.18,0.19,0.2,0.21,0.2,,,,,,,0.21,0.01
University of South Australia,,,,,,,,,,0.22,0.29,0.24,0.28,0.28,0.31,0.35,0.32,0.34,0.26,0.25,0.24,0.28,0.01
University of Wolverhampton,,,,,,,,,,,,,,,,,0.16,0.17,0.17,0.18,0.19,,
York University,,,,,,0.21,0.22,0.25,0.3,0.32,0.31,0.34,0.33,0.3,0.29,0.29,0.26,,,,,0.3,0.02
