name,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,m+1,m-1
Aberystwyth University,,,,19.8,23.8,19.3,20.7,21.6,20.5,24.2,26.2,24.8,23.8,24.1,22.3,,,,,,,24.1,0.53
Auburn University,,,,,,33.7,,,,30.2,31.7,31.8,32.8,32.7,30.7,31.1,32.4,,,,,32.7,-0.02
Boston College,,,,,,,,,40.1,26.5,34.5,26.3,32.4,34.1,47.3,37.0,36.1,36.7,48.2,47.5,48.6,34.1,-1.56
Durham University,,,,39.8,32.5,42.3,38.3,37.2,47.9,43.0,44.8,44.7,45.5,44.8,44.9,40.0,,,,,,44.8,1.05
La Trobe University,,,,,,,,,,19.0,,,,27.0,26.7,27.1,25.2,27.1,27.9,27.6,25.9,27.0,27.0
McGill University,,,,69.0,72.8,74.4,61.5,63.3,66.1,66.4,63.4,64.1,65.0,64.2,63.3,62.0,,,,,,64.2,-0.81
Ulster University,,,,,,,,,19.1,18.7,21.0,19.8,21.0,20.2,24.5,19.9,,,,,,20.2,0.49
University College Dublin,,,,42.4,25.2,31.1,27.1,31.7,35.0,31.5,29.2,30.7,30.8,29.0,32.2,32.6,,,,,,29.0,-0.36
University of Auckland,,,,,,34.8,28.3,34.0,26.7,28.6,31.4,32.8,32.5,30.1,31.4,30.6,34.0,36.8,,,,30.1,0.01
University of Birmingham,50.3,42.6,44.8,42.8,42.8,39.4,38.6,36.5,38.9,39.6,40.3,40.3,40.5,,,,,,,,,,-0.6
University of Cincinnati,,,,,,,43.6,29.0,34.9,31.8,32.0,31.3,,,,35.5,,,,,,,-1.59
University of Edinburgh,,,,,,,59.9,63.0,68.4,56.6,58.9,68.6,67.5,66.8,69.2,67.3,67.2,66.1,66.9,,,66.8,0.87
University of Georgia,,,,,44.4,45.4,39.6,39.7,41.1,33.0,30.1,33.6,34.9,40.3,42.2,39.5,,,,,,40.3,-1.65
University of Gloucestershire,,,,,,,,,,,,,27.55,27.14,,,,,,,,27.14,27.14
University of Leicester,,,,,,,,,27.6,33.0,32.5,29.8,32.1,30.9,32.2,30.5,30.1,30.9,30.0,31.4,,30.9,0.58
University of Newcastle,,,,18.2,21.1,21.2,26.5,27.4,29.3,28.0,23.8,24.5,26.2,27.1,30.0,,,,,,,27.1,0.7
University of Nottingham,,,46.8,40.2,48.1,38.4,39.9,40.3,41.0,40.5,42.7,42.7,42.0,43.6,41.8,,,,,,,43.6,-0.23
University of Ottawa,,,,38.9,40.8,36.5,37.9,37.1,38.1,37.6,39.1,41.3,41.1,40.4,41.7,,,,,,,40.4,0.22
University of Portsmouth,,,,,12.8,13.7,16.1,17.2,16.7,19.1,16.7,17.8,18.8,20.0,18.8,,,,,,,20.0,0.66
University of South Australia,,,,,,,,,,20.6,28.4,22.5,25.7,26.4,29.9,31.5,30.5,31.5,24.5,23.5,23.0,26.4,0.94
University of Wolverhampton,,,,,,,,,,,,,,,,,15.0,15.8,16.2,17.4,18.2,,
York University,,,,,,19.9,20.9,24.2,27.5,30.2,29.9,30.5,31.0,28.2,27.3,27.4,25.1,,,,,28.2,1.73
