rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1,Harvard University,96.1,99.7,98.7,98.8,34.5,72.4,20152,8.9,0.25,2011
2,California Institute of Technology,96,97.7,98,99.9,83.7,54.6,2243,6.9,0.27,2011
3,Massachusetts Institute of Technology,95.6,97.8,91.4,99.9,87.5,82.3,11074,9,0.33,2011
4,Stanford University,94.3,98.3,98.1,99.2,64.3,29.5,15596,7.8,0.22,2011
5,Princeton University,94.2,90.9,95.4,99.9,-,70.3,7929,8.4,0.27,2011
6,University of Cambridge,91.2,90.5,94.1,94,57,77.7,18812,11.8,0.34,2011
6,University of Oxford,91.2,88.2,93.9,95.1,73.5,77.2,19919,11.6,0.34,2011
8,"University of California, Berkeley",91.1,84.2,99.3,97.8,-,39.6,36186,16.4,0.15,2011
9,Imperial College London,90.6,89.2,94.5,88.3,92.9,90,15060,11.7,0.51,2011
10,Yale University,89.5,92.1,89.7,91.5,-,59.2,11751,4.4,0.20,2011
11,"University of California, Los Angeles",87.7,83,92.9,93.2,-,48.1,38206,10.3,0.15,2011
12,University of Chicago,86.9,79.1,87.9,96.9,-,62.8,14221,6.9,0.21,2011
13,Johns Hopkins University,86.4,80.9,89.2,92.3,100,58.5,15128,3.6,0.23,2011
14,Cornell University,83.9,82.2,88.8,88.1,34.7,62.4,21424,10.2,0.19,2011
15,ETH Zurich – Swiss Federal Institute of Technology Zurich,83.4,77.5,87.8,83.1,-,93.7,18178,14.7,0.37,2011
15,University of Michigan,83.4,83.9,89.1,84.1,59.6,53.3,41786,9,0.16,2011
17,University of Toronto,82,75.8,87.9,82.2,-,-,66198,19.5,0.15,2011
18,Columbia University,81,73.8,73.8,92.6,-,90.9,25055,5.9,0.28,2011
19,University of Pennsylvania,79.5,71.8,82.7,93.6,43.7,32.9,20376,6.5,0.20,2011
20,Carnegie Mellon University,79.3,70.3,79.3,95.7,53.7,39.1,11885,13.1,0.35,2011
21,University of Hong Kong,79.2,68.4,71.4,96.1,56.5,91.4,19835,17.6,0.38,2011
22,University College London,78.4,74,81.6,80.6,39,90.8,26607,10.7,0.46,2011
23,University of Washington,78,68.2,77.1,95.9,32.8,49,44020,11.8,0.13,2011
24,Duke University,76.5,66.8,71.5,92.3,100,49.4,15172,4.8,0.17,2011
25,Northwestern University,75.9,64.5,68.8,95.3,-,60.5,18334,13.8,0.15,2011
26,University of Tokyo,75.6,87.7,91.9,58.1,-,18.4,26199,5.7,0.10,2011
27,Georgia Institute of Technology,75.3,67.9,72.6,83.2,95.1,73.2,19967,20.1,0.26,2011
28,Pohang University of Science and Technology,75.1,69.5,62.5,96.5,100,32.6,3055,10.1,0.04,2011
29,"University of California, Santa Barbara",75,56.6,68,98.8,89.8,64.3,22020,27.3,0.11,2011
30,University of British Columbia,73.8,65.1,74.8,80.3,42.6,93.3,50152,17.6,0.25,2011
30,University of North Carolina at Chapel Hill,73.8,70.9,75.1,85,50.2,21.5,26518,7.3,0.08,2011
32,"University of California, San Diego",73.2,59.8,76.3,90.8,51.8,31.6,27233,6.5,0.11,2011
33,University of Illinois at Urbana-Champaign,73,68.1,80.9,72.9,-,55.9,42727,18.7,0.20,2011
34,National University of Singapore,72.9,65.5,72.6,78.7,40.5,97.8,31592,15.5,0.34,2011
35,McGill University,71.7,69,74.9,69,-,85.9,31326,13.7,0.23,2011
36,University of Melbourne,71,58.7,69.2,83.3,47.7,88,40128,23.7,0.35,2011
37,Peking University,70.7,76.4,61.3,72.2,98.6,68.6,40148,8.3,0.14,2011
38,Washington University in St Louis,69.9,58.9,63,88.6,-,56.4,12528,5.7,0.17,2011
39,École Polytechnique,69.5,57.9,56.1,91.4,-,77.9,2429,4.8,0.30,2011
40,University of Edinburgh,69.2,59.9,61.9,86.8,42.2,67.3,25774,14.1,0.36,2011
41,Hong Kong University of Science and Technology,69,50.4,51.8,98.2,64.1,97.4,11385,23.8,0.36,2011
42,École Normale Supérieure,68.6,66.8,48.2,95.7,30.7,44.9,2400,7.9,0.20,2011
43,Australian National University,67,51.9,62.4,81,-,93.9,14604,19.2,0.35,2011
43,Karolinska Institute,67,65.8,72.7,62.3,73.3,-,7774,11.5,0.22,2011
43,University of Göttingen,67,57.3,55.9,92.5,31.7,44.5,25581,25.6,0.12,2011
43,University of Wisconsin,67,55.5,64.6,83.4,-,43.7,,,,2011
47,Rice University,66.9,57.4,50.6,99.1,29.2,31.2,6333,9,0.26,2011
48,École Polytechnique Fédérale de Lausanne,66.5,55,56.1,83.8,38,100,9666,10.5,0.54,2011
49,"University of California, Irvine",66,49.4,54.7,91.6,-,66.3,26614,16.1,0.16,2011
49,University of Science and Technology of China,66,57.5,48.6,92.7,30.3,-,14290,7.9,0.02,2011
51,Vanderbilt University,65.9,64.9,59.5,78.1,84.2,22.1,12161,3.6,0.10,2011
52,University of Minnesota,65.6,57.6,69.1,76.4,-,23,46825,18,0.13,2011
53,Tufts University,65.2,64.1,52.3,83.9,-,28.3,10410,10,0.14,2011
54,"University of California, Davis",65,57.3,70.7,68.8,48,60.5,35364,13.9,0.13,2011
55,Brown University,64.9,59.7,57,77.7,-,60.5,8653,10.1,0.19,2011
56,University of Massachusetts,64.7,61.3,72.6,67.9,53.9,22.6,56959,13,0.11,2011
57,Kyoto University,64.6,78.9,77.7,46.3,67.1,18.4,22809,5.6,0.07,2011
58,Tsinghua University,64.2,74.9,66.6,52.7,97.8,43,39763,13.7,0.10,2011
59,Boston University,64,53.6,51.9,91.4,29.6,38.1,24789,8.6,0.17,2011
60,New York University,63.9,62,50.7,82.9,-,31.8,42056,6.8,0.19,2011
61,Emory University,63,63.4,48.4,77.8,-,52.3,12338,4.5,0.18,2011
61,LMU Munich,63,59.1,57.5,76.4,40.4,43.1,35691,15.5,0.13,2011
63,University of Notre Dame,62.8,56.4,45.1,89.1,-,35.6,11829,13.8,0.10,2011
64,University of Pittsburgh,62.7,58.5,58.3,78.3,37.9,25.2,26485,5.8,0.10,2011
65,Case Western Reserve University,62.2,67.2,53.8,66,-,56.5,9259,6.4,0.17,2011
66,Ohio State University,62.1,63.5,54.9,67.2,-,64,51462,13.4,0.12,2011
67,University of Colorado Boulder,61.6,46.4,58.1,83.4,-,31.7,29325,16.1,0.08,2011
68,University of Bristol,61.4,49.6,53.1,80.9,36.2,67.2,17906,14,0.25,2011
68,"University of California, Santa Cruz",61.4,38.3,50.4,99.6,-,16.7,17404,22.7,0.01,2011
68,Yeshiva University,61.4,63.5,46.7,74.4,-,53.3,6753,5.5,0.07,2011
71,University of Sydney,61.2,49.8,61.9,64.3,90.8,89.6,41868,20.2,0.28,2011
72,University of Virginia,61.1,62,55.4,68.6,-,42.2,23845,10.2,0.12,2011
73,University of Adelaide,60.7,46.5,38.8,90.5,52.7,87.5,20771,30.1,0.26,2011
73,University of Southern California,60.7,65.4,48.7,71.9,-,31.2,36534,12.9,0.20,2011
75,William & Mary,60.4,53.1,36.1,95.6,-,20.9,7867,11.8,0.07,2011
76,Trinity College Dublin,60.3,47.7,45.3,84.4,31.6,84.2,15521,18,0.25,2011
77,King’s College London,59.7,48.5,54.5,72.1,44.1,85.9,21394,11.4,0.37,2011
78,Stony Brook University,59.6,48.5,43.6,85.8,-,52.2,21908,10.9,0.24,2011
79,Korea Advanced Institute of Science and Technology (KAIST),59.5,71.3,63.4,45.5,100,36.7,9027,10,0.09,2011
79,University of Sussex,59.5,42.4,42.4,91.6,29.1,72.8,12001,17.4,0.35,2011
81,The University of Queensland,59.1,51.8,53.4,69,57.1,74.2,34718,32.7,0.27,2011
81,University of York,59.1,47.9,46.2,81.9,36.2,66.6,,,,2011
83,Heidelberg University,59,59.2,47.5,70.3,39.1,63.4,28881,24.5,0.17,2011
83,University of Utah,59,55.8,54.2,72,-,22.5,25674,16.9,0.09,2011
