rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,20664.00,11.2,41,95.4,90.5,100,98.4,65.50,96.4,2020
2,California Institute of Technology,2240.00,6.4,30,94.5,92.1,97,97.9,88.00,82.5,2020
3,University of Cambridge,18978.00,10.9,37,94.4,91.4,99,95.8,59.30,95,2020
4,Stanford University,16135.00,7.3,23,94.3,92.8,96,99.9,66.20,79.5,2020
5,Massachusetts Institute of Technology,11247.00,8.6,34,93.6,90.5,92,99.5,86.90,89,2020
6,Princeton University,7983.00,8.1,25,93.2,90.3,96,98.8,58.60,81.1,2020
7,Harvard University,20823.00,9.2,24,93,89.2,99,99.1,47.30,76.3,2020
8,Yale University,12402.00,5.4,20,91.7,92,95,97.3,52.40,68.7,2020
9,University of Chicago,13833.00,5.7,28,90.2,89.1,91,96.7,52.70,76,2020
10,Imperial College London,16760.00,11.7,56,89.8,84.5,88,97,69.90,97.1,2020
11,University of Pennsylvania,20578.00,6.5,21,89.6,87.5,90,98.2,74.00,65,2020
12,Johns Hopkins University,16171.00,4.5,26,89.2,81.7,91,98.3,91.30,73.2,2020
13,"University of California, Berkeley",41081.00,13.7,17,88.3,83,91,99.2,46.10,70.4,2020
13,ETH Zurich,18956.00,12.5,39,88.3,81.8,93,90.3,56.80,98.2,2020
15,UCL,32665.00,10.6,52,87.1,77.8,89,96.1,42.70,96.2,2020
16,Columbia University,26586.00,5.8,37,87,85.6,83,98.2,44.80,79.3,2020
17,"University of California, Los Angeles",41066.00,9.4,17,86.8,83.1,89,97.3,51.30,64.1,2020
18,University of Toronto,73370.00,20.1,21,85.5,76.6,90,93.6,50.50,84.7,2020
19,Cornell University,22319.00,9.8,25,85.1,79.7,86,96.6,37.10,73.4,2020
20,Duke University,15309.00,4.3,19,84,82.4,77,97,99.90,61.5,2020
21,University of Michigan-Ann Arbor,42982.00,8.3,17,83.8,79.4,86,94.9,47.70,59.2,2020
22,Northwestern University,17951.00,12.8,20,83.5,74.2,84,97.8,78.40,64.1,2020
23,Tsinghua University,38783.00,12,11,82.6,86.6,94,74.6,100.00,47.4,2020
24,Peking University,39575.00,11.5,15,82.3,89.1,90,73.2,86.60,59.6,2020
25,National University of Singapore,30869.00,17.9,28,81.9,76.8,90,76.9,58.80,95.5,2020
26,University of Washington,45692.00,11.1,16,81.6,72.2,82,98.6,47.50,60.4,2020
27,Carnegie Mellon University,13430.00,13.6,48,81.3,65.9,83,98.2,50.50,80.6,2020
27,London School of Economics and Political Science,10570.00,12.1,71,81.3,69,83,92.8,35.10,93.2,2020
29,New York University,44466.00,8.9,33,81.1,76.8,78,96.5,38.70,65.4,2020
30,University of Edinburgh,29433.00,12.8,41,79.4,67.3,74,96.4,38.90,93.8,2020
31,"University of California, San Diego",33579.00,13,23,78.8,62.6,79,97.7,90.30,63.7,2020
32,LMU Munich,34519.00,34.7,17,77.8,68.4,77,88.8,100.00,67.2,2020
32,University of Melbourne,47385.00,26.3,46,77.8,65.9,74,89.8,76.30,93.1,2020
34,University of British Columbia,52108.00,18.1,32,76.3,61.5,73,92.5,43.80,94.4,2020
35,University of Hong Kong,18260.00,18.2,44,75.9,69.5,77,76.6,59.70,98.6,2020
36,King’s College London,26057.00,12.5,44,75.7,61.3,69,94.8,45.60,95.6,2020
36,The University of Tokyo,25913.00,10.6,12,75.7,85.9,90,60.7,77.40,38.2,2020
38,École Polytechnique Fédérale de Lausanne,10492.00,11.4,59,75.4,66.6,66,88.3,66.40,98.6,2020
38,Georgia Institute of Technology,21372.00,18.3,27,75.4,60.2,76,90.4,61.60,77.1,2020
38,University of Texas at Austin,49165.00,17.2,10,75.4,68.2,76,93.2,46.60,39.1,2020
41,Karolinska Institute,7777.00,9,20,74.7,55.4,71,96.1,71.20,81.2,2020
42,McGill University,31294.00,13,29,74.3,65,72,84.7,42.80,90.4,2020
43,Technical University of Munich,40472.00,47.8,27,74.1,64.6,70,85.5,100.00,72.9,2020
44,Heidelberg University,20800.00,16.1,18,73.5,67.1,60,96.2,54.60,67.5,2020
45,KU Leuven,45049.00,36.3,15,73.2,58.7,74,85.3,99.30,71.8,2020
45,Paris Sciences et Lettres – PSL Research University Paris,21298.00,11.5,26,73.2,71.6,71,77,52.20,78.7,2020
47,The Hong Kong University of Science and Technology,10125.00,22.3,31,73.1,57.4,66,89.8,71.90,97.7,2020
48,University of Illinois at Urbana-Champaign,44916.00,17.9,24,72.9,63.2,78,84.4,47.90,54.3,2020
48,"Nanyang Technological University, Singapore",25088.00,15.9,27,72.9,57.6,70,84.9,76.50,95.1,2020
50,Australian National University,17359.00,17.8,44,72.1,54.4,70,88.4,46.40,95.5,2020
51,University of Wisconsin-Madison,39154.00,10,13,72,68.8,70,85.3,46.30,47.4,2020
52,Washington University in St Louis,13401.00,7.5,20,71.5,64.2,58,98.8,40.70,57.1,2020
53,Brown University,9391.00,10.8,20,70,64,56,94.9,36.50,61.4,2020
54,University of North Carolina at Chapel Hill,35419.00,9.4,8,69.9,59.7,63,96.9,43.90,38,2020
55,"University of California, Davis",39164.00,12,14,69.7,62.4,67,83.2,51.40,62.4,2020
55,University of Manchester,37038.00,14.4,40,69.7,56.9,64,85.2,44.70,91,2020
57,"University of California, Santa Barbara",24089.00,27.6,16,69.6,47.9,64,96.4,84.50,68.1,2020
57,Chinese University of Hong Kong,18340.00,18.6,32,69.6,55.8,63,84.5,55.20,97.8,2020
